(-0.571764,-0.00432098)
(-0.572629,-0.00433477)
(-0.573497,-0.00434863)
(-0.574368,-0.00436256)
(-0.575242,-0.00437656)
(-0.576119,-0.00439063)
(-0.576998,-0.00440477)
 (-0.57788,-0.00441899)
(-0.578766,-0.00443327)
(-0.579653,-0.00444763)
(-0.580544,-0.00446207)
(-0.581438,-0.00447657)
(-0.582335,-0.00449115)
(-0.583234,-0.00450581)
(-0.584137,-0.00452054)
(-0.585042,-0.00453534)
(-0.585951,-0.00455023)
(-0.586862,-0.00456519)
(-0.587777,-0.00458022)
(-0.588694,-0.00459534)
(-0.589614,-0.00461053)
(-0.590538,-0.00462581)
(-0.591464,-0.00464116)
(-0.592394,-0.00465659)
(-0.593327,-0.00467211)
 (-0.594263,-0.0046877)
(-0.595202,-0.00470338)
(-0.596144,-0.00471914)
(-0.597089,-0.00473498)
(-0.598037,-0.00475091)
(-0.598989,-0.00476692)
(-0.599944,-0.00478302)
(-0.600902,-0.00479921)
(-0.601863,-0.00481548)
(-0.602828,-0.00483183)
(-0.603796,-0.00484828)
(-0.604767,-0.00486481)
(-0.605741,-0.00488143)
(-0.606719,-0.00489814)
  (-0.6077,-0.00491495)
(-0.608685,-0.00493184)
(-0.609673,-0.00494882)
 (-0.610664,-0.0049659)
(-0.611659,-0.00498307)
(-0.612657,-0.00500034)
 (-0.613659,-0.0050177)
(-0.614664,-0.00503515)
 (-0.615672,-0.0050527)
(-0.616685,-0.00507035)
  (-0.6177,-0.00508809)
 (-0.61872,-0.00510594)
(-0.619742,-0.00512388)
(-0.620769,-0.00514192)
(-0.621799,-0.00516006)
(-0.622832,-0.00517831)
 (-0.62387,-0.00519665)
 (-0.624911,-0.0052151)
(-0.625955,-0.00523365)
(-0.627004,-0.00525231)
(-0.628056,-0.00527107)
(-0.629112,-0.00528994)
(-0.630172,-0.00530892)
  (-0.631235,-0.005328)
 (-0.632303,-0.0053472)
 (-0.633374,-0.0053665)
(-0.634449,-0.00538591)
(-0.635528,-0.00540543)
(-0.636611,-0.00542507)
(-0.637697,-0.00544482)
(-0.638788,-0.00546468)
(-0.639883,-0.00548466)
(-0.640982,-0.00550476)
(-0.642084,-0.00552497)
 (-0.643191,-0.0055453)
(-0.644302,-0.00556574)
(-0.645417,-0.00558631)
  (-0.646536,-0.005607)
 (-0.64766,-0.00562781)
(-0.648787,-0.00564874)
 (-0.649919,-0.0056698)
(-0.651054,-0.00569098)
(-0.652195,-0.00571228)
(-0.653339,-0.00573372)
(-0.654488,-0.00575528)
(-0.655641,-0.00577697)
(-0.656798,-0.00579879)
 (-0.65796,-0.00582074)
(-0.659126,-0.00584283)
(-0.660296,-0.00586504)
(-0.661471,-0.00588739)
(-0.662651,-0.00590988)
 (-0.663835,-0.0059325)
(-0.665024,-0.00595527)
(-0.666217,-0.00597817)
(-0.667414,-0.00600121)
(-0.668617,-0.00602439)
(-0.669824,-0.00604772)
(-0.671035,-0.00607118)
 (-0.672252,-0.0060948)
(-0.673473,-0.00611856)
(-0.674699,-0.00614247)
(-0.675929,-0.00616652)
(-0.677165,-0.00619073)
(-0.678405,-0.00621509)
  (-0.67965,-0.0062396)
  (-0.6809,-0.00626427)
(-0.682155,-0.00628909)
(-0.683415,-0.00631407)
(-0.684681,-0.00633921)
 (-0.685951,-0.0063645)
(-0.687226,-0.00638996)
(-0.688506,-0.00641558)
(-0.689791,-0.00644137)
(-0.691082,-0.00646732)
(-0.692378,-0.00649343)
(-0.693679,-0.00651972)
(-0.694985,-0.00654617)
 (-0.696297,-0.0065728)
 (-0.697614,-0.0065996)
(-0.698936,-0.00662658)
(-0.700264,-0.00665373)
(-0.701597,-0.00668106)
(-0.702936,-0.00670857)
 (-0.70428,-0.00673626)
 (-0.70563,-0.00676413)
(-0.706985,-0.00679219)
(-0.708346,-0.00682044)
(-0.709712,-0.00684887)
(-0.711085,-0.00687749)
(-0.712463,-0.00690631)
(-0.713847,-0.00693532)
(-0.715236,-0.00696452)
(-0.716632,-0.00699392)
(-0.718033,-0.00702352)
(-0.719441,-0.00705332)
(-0.720854,-0.00708332)
(-0.722273,-0.00711353)
(-0.723699,-0.00714394)
 (-0.72513,-0.00717457)
 (-0.726568,-0.0072054)
(-0.728012,-0.00723645)
(-0.729462,-0.00726771)
(-0.730918,-0.00729919)
(-0.732381,-0.00733088)
  (-0.73385,-0.0073628)
(-0.735325,-0.00739494)
(-0.736807,-0.00742731)
 (-0.738295,-0.0074599)
 (-0.73979,-0.00749273)
(-0.741291,-0.00752579)
  (-0.7428,-0.00755908)
(-0.744314,-0.00759261)
(-0.745836,-0.00762638)
(-0.747364,-0.00766038)
(-0.748899,-0.00769464)
(-0.750441,-0.00772914)
 (-0.75199,-0.00776389)
(-0.753546,-0.00779889)
(-0.755109,-0.00783415)
(-0.756679,-0.00786966)
(-0.758256,-0.00790543)
 (-0.75984,-0.00794146)
(-0.761431,-0.00797776)
 (-0.76303,-0.00801433)
(-0.764636,-0.00805116)
 (-0.76625,-0.00808827)
(-0.767871,-0.00812566)
(-0.769499,-0.00816332)
(-0.771135,-0.00820127)
 (-0.772779,-0.0082395)
 (-0.77443,-0.00827802)
(-0.776089,-0.00831683)
(-0.777756,-0.00835593)
 (-0.77943,-0.00839534)
(-0.781113,-0.00843504)
(-0.782803,-0.00847504)
(-0.784502,-0.00851535)
(-0.786209,-0.00855598)
(-0.787923,-0.00859691)
(-0.789646,-0.00863816)
(-0.791378,-0.00867974)
(-0.793117,-0.00872163)
(-0.794865,-0.00876386)
(-0.796622,-0.00880641)
 (-0.798387,-0.0088493)
 (-0.80016,-0.00889253)
 (-0.801942,-0.0089361)
(-0.803734,-0.00898002)
(-0.805533,-0.00902428)
 (-0.807342,-0.0090689)
 (-0.80916,-0.00911388)
(-0.810986,-0.00915922)
(-0.812822,-0.00920493)
  (-0.814667,-0.009251)
(-0.816521,-0.00929746)
(-0.818385,-0.00934428)
 (-0.820258,-0.0093915)
  (-0.82214,-0.0094391)
(-0.824032,-0.00948709)
(-0.825934,-0.00953548)
(-0.827845,-0.00958427)
(-0.829766,-0.00963347)
(-0.831697,-0.00968307)
 (-0.833638,-0.0097331)
(-0.835589,-0.00978354)
 (-0.83755,-0.00983441)
(-0.839521,-0.00988571)
(-0.841503,-0.00993744)
(-0.843495,-0.00998962)
 (-0.845497,-0.0100422)
  (-0.84751,-0.0100953)
 (-0.849534,-0.0101488)
 (-0.851568,-0.0102028)
 (-0.853614,-0.0102573)
  (-0.85567,-0.0103122)
 (-0.857737,-0.0103677)
 (-0.859815,-0.0104236)
   (-0.861905,-0.01048)
 (-0.864006,-0.0105369)
 (-0.866118,-0.0105943)
 (-0.868242,-0.0106522)
 (-0.870377,-0.0107106)
 (-0.872524,-0.0107695)
  (-0.874683,-0.010829)
  (-0.876854,-0.010889)
 (-0.879037,-0.0109496)
 (-0.881232,-0.0110107)
 (-0.883439,-0.0110724)
 (-0.885659,-0.0111346)
 (-0.887891,-0.0111974)
 (-0.890136,-0.0112608)
 (-0.892394,-0.0113248)
 (-0.894664,-0.0113894)
 (-0.896948,-0.0114545)
 (-0.899244,-0.0115203)
 (-0.901554,-0.0115867)
 (-0.903877,-0.0116538)
 (-0.906213,-0.0117215)
 (-0.908563,-0.0117898)
 (-0.910927,-0.0118587)
 (-0.913304,-0.0119284)
 (-0.915696,-0.0119987)
 (-0.918102,-0.0120697)
 (-0.920522,-0.0121413)
 (-0.922956,-0.0122137)
 (-0.925405,-0.0122868)
 (-0.927868,-0.0123606)
 (-0.930347,-0.0124351)
  (-0.93284,-0.0125104)
 (-0.935348,-0.0125864)
 (-0.937872,-0.0126632)
 (-0.940411,-0.0127408)
 (-0.942966,-0.0128191)
 (-0.945536,-0.0128983)
 (-0.948122,-0.0129782)
  (-0.950725,-0.013059)
 (-0.953343,-0.0131405)
  (-0.955978,-0.013223)
  (-0.95863,-0.0133062)
 (-0.961298,-0.0133904)
 (-0.963983,-0.0134754)
 (-0.966685,-0.0135613)
 (-0.969405,-0.0136481)
 (-0.972141,-0.0137359)
 (-0.974896,-0.0138245)
 (-0.977668,-0.0139142)
 (-0.980458,-0.0140047)
 (-0.983267,-0.0140963)
 (-0.986094,-0.0141888)
 (-0.988939,-0.0142824)
  (-0.991803,-0.014377)
 (-0.994686,-0.0144726)
 (-0.997589,-0.0145692)
   (-1.00051,-0.014667)
  (-1.00345,-0.0147658)
  (-1.00641,-0.0148657)
  (-1.00939,-0.0149667)
   (-1.0124,-0.0150689)
  (-1.01542,-0.0151723)
  (-1.01846,-0.0152768)
  (-1.02153,-0.0153825)
  (-1.02461,-0.0154894)
  (-1.02772,-0.0155976)
   (-1.03085,-0.015707)
    (-1.034,-0.0158177)
  (-1.03717,-0.0159297)
   (-1.04036,-0.016043)
  (-1.04358,-0.0161576)
  (-1.04682,-0.0162737)
  (-1.05009,-0.0163911)
  (-1.05337,-0.0165099)
  (-1.05669,-0.0166301)
  (-1.06002,-0.0167518)
   (-1.06338,-0.016875)
  (-1.06677,-0.0169997)
   (-1.07018,-0.017126)
  (-1.07361,-0.0172538)
  (-1.07707,-0.0173831)
  (-1.08056,-0.0175142)
  (-1.08407,-0.0176468)
  (-1.08761,-0.0177812)
  (-1.09118,-0.0179172)
   (-1.09477,-0.018055)
   (-1.0984,-0.0181946)
  (-1.10205,-0.0183359)
  (-1.10572,-0.0184791)
  (-1.10943,-0.0186242)
  (-1.11317,-0.0187712)
  (-1.11693,-0.0189201)
   (-1.12073,-0.019071)
  (-1.12456,-0.0192239)
  (-1.12841,-0.0193789)
    (-1.1323,-0.019536)
  (-1.13622,-0.0196952)
  (-1.14017,-0.0198566)
  (-1.14415,-0.0200202)
   (-1.14817,-0.020186)
  (-1.15222,-0.0203542)
  (-1.15631,-0.0205247)
  (-1.16042,-0.0206976)
   (-1.16458,-0.020873)
  (-1.16876,-0.0210508)
  (-1.17299,-0.0212312)
  (-1.17725,-0.0214143)
  (-1.18155,-0.0215999)
  (-1.18588,-0.0217883)
  (-1.19025,-0.0219794)
  (-1.19466,-0.0221734)
  (-1.19911,-0.0223702)
     (-1.2036,-0.02257)
  (-1.20813,-0.0227728)
   (-1.2127,-0.0229786)
  (-1.21731,-0.0231876)
  (-1.22196,-0.0233998)
  (-1.22666,-0.0236153)
   (-1.2314,-0.0238341)
  (-1.23618,-0.0240564)
  (-1.24101,-0.0242821)
  (-1.24588,-0.0245115)
   (-1.2508,-0.0247444)
  (-1.25577,-0.0249812)
  (-1.26078,-0.0252217)
  (-1.26585,-0.0254662)
  (-1.27096,-0.0257146)
  (-1.27612,-0.0259672)
   (-1.28133,-0.026224)
   (-1.28659,-0.026485)
  (-1.29191,-0.0267505)
  (-1.29728,-0.0270204)
    (-1.3027,-0.027295)
  (-1.30818,-0.0275743)
  (-1.31372,-0.0278584)
  (-1.31931,-0.0281475)
  (-1.32496,-0.0284417)
  (-1.33067,-0.0287411)
  (-1.33644,-0.0290459)
  (-1.34227,-0.0293561)
  (-1.34816,-0.0296719)
  (-1.35412,-0.0299935)
   (-1.36014,-0.030321)
  (-1.36623,-0.0306546)
  (-1.37238,-0.0309945)
   (-1.3786,-0.0313407)
   (-1.3849,-0.0316935)
   (-1.39126,-0.032053)
  (-1.39769,-0.0324195)
    (-1.4042,-0.032793)
  (-1.41079,-0.0331739)
  (-1.41745,-0.0335624)
  (-1.42419,-0.0339585)
  (-1.43101,-0.0343626)
  (-1.43791,-0.0347749)
  (-1.44489,-0.0351956)
  (-1.45196,-0.0356249)
  (-1.45911,-0.0360632)
  (-1.46635,-0.0365106)
  (-1.47368,-0.0369675)
  (-1.48111,-0.0374341)
  (-1.48862,-0.0379108)
  (-1.49624,-0.0383977)
  (-1.50395,-0.0388954)
   (-1.51176,-0.039404)
  (-1.51967,-0.0399239)
  (-1.52769,-0.0404555)
  (-1.53581,-0.0409992)
  (-1.54405,-0.0415553)
  (-1.55239,-0.0421243)
  (-1.56086,-0.0427065)
  (-1.56943,-0.0433024)
  (-1.57813,-0.0439126)
  (-1.58695,-0.0445373)
   (-1.5959,-0.0451772)
  (-1.60497,-0.0458328)
  (-1.61418,-0.0465046)
  (-1.62352,-0.0471932)
    (-1.633,-0.0478991)
   (-1.64262,-0.048623)
  (-1.65238,-0.0493656)
   (-1.6623,-0.0501274)
  (-1.67237,-0.0509094)
    (-1.6826,-0.051712)
  (-1.69298,-0.0525363)
  (-1.70354,-0.0533829)
  (-1.71426,-0.0542528)
  (-1.72516,-0.0551467)
  (-1.73624,-0.0560658)
   (-1.7475,-0.0570109)
  (-1.75895,-0.0579832)
   (-1.7706,-0.0589837)
  (-1.78245,-0.0600135)
   (-1.79451,-0.061074)
  (-1.80677,-0.0621663)
  (-1.81926,-0.0632918)
   (-1.83198,-0.064452)
  (-1.84492,-0.0656483)
  (-1.85811,-0.0668823)
  (-1.87155,-0.0681558)
