(-0.121149,-0.000764289)
(-0.121302,-0.000766297)
(-0.121456,-0.000768313)
 (-0.12161,-0.000770337)
 (-0.121764,-0.00077237)
(-0.121919,-0.000774411)
(-0.122074,-0.000776461)
(-0.122229,-0.000778519)
(-0.122385,-0.000780585)
 (-0.122541,-0.00078266)
(-0.122698,-0.000784744)
(-0.122855,-0.000786836)
(-0.123013,-0.000788937)
(-0.123171,-0.000791047)
(-0.123329,-0.000793165)
(-0.123488,-0.000795292)
(-0.123647,-0.000797428)
(-0.123807,-0.000799573)
(-0.123967,-0.000801727)
 (-0.124128,-0.00080389)
(-0.124289,-0.000806063)
 (-0.12445,-0.000808244)
(-0.124612,-0.000810434)
(-0.124774,-0.000812634)
(-0.124937,-0.000814843)
  (-0.1251,-0.000817062)
(-0.125264,-0.000819289)
(-0.125428,-0.000821527)
(-0.125592,-0.000823773)
 (-0.125757,-0.00082603)
(-0.125923,-0.000828296)
(-0.126089,-0.000830572)
(-0.126255,-0.000832857)
(-0.126422,-0.000835152)
(-0.126589,-0.000837457)
(-0.126757,-0.000839772)
(-0.126925,-0.000842098)
(-0.127093,-0.000844433)
(-0.127262,-0.000846778)
(-0.127432,-0.000849133)
(-0.127602,-0.000851499)
(-0.127773,-0.000853874)
(-0.127944,-0.000856261)
(-0.128115,-0.000858657)
(-0.128287,-0.000861064)
(-0.128459,-0.000863482)
 (-0.128632,-0.00086591)
(-0.128806,-0.000868349)
 (-0.12898,-0.000870798)
(-0.129154,-0.000873259)
 (-0.129329,-0.00087573)
(-0.129504,-0.000878212)
 (-0.12968,-0.000880705)
(-0.129857,-0.000883209)
(-0.130033,-0.000885725)
(-0.130211,-0.000888251)
(-0.130389,-0.000890789)
(-0.130567,-0.000893338)
(-0.130746,-0.000895898)
 (-0.130925,-0.00089847)
(-0.131105,-0.000901054)
(-0.131286,-0.000903649)
(-0.131467,-0.000906256)
(-0.131648,-0.000908874)
 (-0.13183,-0.000911505)
(-0.132013,-0.000914147)
(-0.132196,-0.000916801)
 (-0.13238,-0.000919467)
(-0.132564,-0.000922146)
(-0.132748,-0.000924836)
(-0.132934,-0.000927539)
(-0.133119,-0.000930255)
(-0.133306,-0.000932982)
(-0.133492,-0.000935722)
 (-0.13368,-0.000938475)
(-0.133868,-0.000941241)
(-0.134056,-0.000944019)
 (-0.134245,-0.00094681)
(-0.134435,-0.000949614)
(-0.134625,-0.000952431)
(-0.134816,-0.000955261)
(-0.135007,-0.000958104)
(-0.135199,-0.000960961)
(-0.135392,-0.000963831)
(-0.135585,-0.000966714)
(-0.135778,-0.000969611)
(-0.135972,-0.000972521)
(-0.136167,-0.000975445)
(-0.136363,-0.000978383)
(-0.136559,-0.000981335)
(-0.136755,-0.000984301)
 (-0.136952,-0.00098728)
 (-0.13715,-0.000990274)
(-0.137348,-0.000993282)
(-0.137547,-0.000996305)
(-0.137747,-0.000999342)
 (-0.137947,-0.00100239)
 (-0.138148,-0.00100546)
 (-0.138349,-0.00100854)
 (-0.138551,-0.00101164)
 (-0.138754,-0.00101475)
 (-0.138957,-0.00101787)
 (-0.139161,-0.00102101)
 (-0.139365,-0.00102417)
  (-0.13957,-0.00102734)
 (-0.139776,-0.00103053)
 (-0.139983,-0.00103373)
  (-0.14019,-0.00103694)
 (-0.140397,-0.00104018)
 (-0.140606,-0.00104343)
 (-0.140815,-0.00104669)
 (-0.141024,-0.00104997)
 (-0.141234,-0.00105327)
 (-0.141445,-0.00105658)
 (-0.141657,-0.00105991)
 (-0.141869,-0.00106326)
 (-0.142082,-0.00106662)
    (-0.142296,-0.00107)
   (-0.14251,-0.0010734)
 (-0.142725,-0.00107681)
 (-0.142941,-0.00108024)
 (-0.143157,-0.00108369)
 (-0.143374,-0.00108716)
 (-0.143592,-0.00109064)
 (-0.143811,-0.00109414)
  (-0.14403,-0.00109766)
  (-0.14425,-0.00110119)
  (-0.14447,-0.00110475)
 (-0.144691,-0.00110832)
 (-0.144913,-0.00111191)
 (-0.145136,-0.00111552)
  (-0.14536,-0.00111914)
 (-0.145584,-0.00112279)
 (-0.145809,-0.00112645)
 (-0.146034,-0.00113014)
 (-0.146261,-0.00113384)
 (-0.146488,-0.00113756)
  (-0.146716,-0.0011413)
 (-0.146944,-0.00114506)
 (-0.147174,-0.00114884)
 (-0.147404,-0.00115263)
 (-0.147634,-0.00115645)
 (-0.147866,-0.00116029)
 (-0.148099,-0.00116415)
 (-0.148332,-0.00116803)
 (-0.148566,-0.00117193)
   (-0.1488,-0.00117585)
 (-0.149036,-0.00117979)
 (-0.149272,-0.00118375)
 (-0.149509,-0.00118773)
 (-0.149747,-0.00119173)
 (-0.149986,-0.00119576)
  (-0.150226,-0.0011998)
 (-0.150466,-0.00120387)
 (-0.150707,-0.00120796)
 (-0.150949,-0.00121207)
