(-0.242338,-0.00152936)
(-0.242645,-0.00153338)
(-0.242952,-0.00153741)
 (-0.24326,-0.00154147)
(-0.243568,-0.00154554)
(-0.243878,-0.00154962)
(-0.244188,-0.00155373)
(-0.244499,-0.00155784)
(-0.244811,-0.00156198)
(-0.245124,-0.00156614)
(-0.245438,-0.00157031)
 (-0.245752,-0.0015745)
 (-0.246067,-0.0015787)
(-0.246383,-0.00158292)
  (-0.2467,-0.00158717)
(-0.247018,-0.00159142)
 (-0.247337,-0.0015957)
(-0.247656,-0.00159999)
(-0.247977,-0.00160431)
(-0.248298,-0.00160864)
 (-0.24862,-0.00161299)
(-0.248943,-0.00161735)
(-0.249267,-0.00162174)
(-0.249592,-0.00162614)
(-0.249917,-0.00163056)
  (-0.250244,-0.001635)
(-0.250571,-0.00163946)
  (-0.2509,-0.00164394)
(-0.251229,-0.00164844)
(-0.251559,-0.00165296)
  (-0.25189,-0.0016575)
(-0.252222,-0.00166205)
(-0.252555,-0.00166663)
(-0.252889,-0.00167122)
(-0.253223,-0.00167584)
(-0.253559,-0.00168047)
(-0.253895,-0.00168513)
 (-0.254233,-0.0016898)
 (-0.254571,-0.0016945)
(-0.254911,-0.00169921)
(-0.255251,-0.00170395)
 (-0.255592,-0.0017087)
(-0.255934,-0.00171348)
(-0.256277,-0.00171828)
 (-0.256621,-0.0017231)
(-0.256967,-0.00172794)
 (-0.257313,-0.0017328)
 (-0.25766,-0.00173768)
(-0.258008,-0.00174258)
(-0.258357,-0.00174751)
(-0.258707,-0.00175246)
(-0.259057,-0.00175743)
(-0.259409,-0.00176242)
(-0.259762,-0.00176743)
(-0.260116,-0.00177247)
(-0.260471,-0.00177753)
(-0.260827,-0.00178261)
(-0.261184,-0.00178771)
(-0.261542,-0.00179284)
(-0.261901,-0.00179798)
(-0.262261,-0.00180316)
(-0.262623,-0.00180835)
(-0.262985,-0.00181357)
(-0.263348,-0.00181881)
(-0.263712,-0.00182408)
(-0.264077,-0.00182937)
(-0.264444,-0.00183468)
(-0.264811,-0.00184002)
 (-0.26518,-0.00184538)
(-0.265549,-0.00185077)
 (-0.26592,-0.00185618)
(-0.266292,-0.00186162)
(-0.266664,-0.00186708)
(-0.267038,-0.00187257)
(-0.267413,-0.00187808)
 (-0.26779,-0.00188361)
(-0.268167,-0.00188918)
(-0.268545,-0.00189476)
(-0.268925,-0.00190038)
(-0.269305,-0.00190602)
(-0.269687,-0.00191168)
 (-0.27007,-0.00191738)
 (-0.270454,-0.0019231)
(-0.270839,-0.00192884)
(-0.271225,-0.00193461)
(-0.271613,-0.00194041)
(-0.272001,-0.00194624)
 (-0.272391,-0.0019521)
(-0.272782,-0.00195798)
(-0.273174,-0.00196389)
(-0.273568,-0.00196982)
(-0.273962,-0.00197579)
(-0.274358,-0.00198178)
(-0.274755,-0.00198781)
(-0.275153,-0.00199386)
(-0.275552,-0.00199994)
(-0.275953,-0.00200605)
(-0.276354,-0.00201219)
(-0.276757,-0.00201835)
(-0.277162,-0.00202455)
(-0.277567,-0.00203078)
(-0.277974,-0.00203704)
(-0.278382,-0.00204333)
(-0.278791,-0.00204964)
(-0.279202,-0.00205599)
(-0.279613,-0.00206237)
(-0.280027,-0.00206878)
(-0.280441,-0.00207523)
 (-0.280856,-0.0020817)
 (-0.281273,-0.0020882)
(-0.281692,-0.00209474)
(-0.282111,-0.00210131)
(-0.282532,-0.00210791)
(-0.282954,-0.00211455)
(-0.283378,-0.00212122)
(-0.283803,-0.00212792)
(-0.284229,-0.00213465)
(-0.284656,-0.00214142)
(-0.285085,-0.00214822)
(-0.285516,-0.00215505)
(-0.285947,-0.00216192)
 (-0.28638,-0.00216882)
(-0.286815,-0.00217576)
 (-0.28725,-0.00218273)
(-0.287688,-0.00218974)
(-0.288126,-0.00219679)
(-0.288566,-0.00220387)
(-0.289008,-0.00221098)
 (-0.28945,-0.00221813)
(-0.289895,-0.00222532)
 (-0.29034,-0.00223254)
 (-0.290788,-0.0022398)
 (-0.291236,-0.0022471)
(-0.291686,-0.00225444)
(-0.292138,-0.00226181)
(-0.292591,-0.00226922)
(-0.293046,-0.00227667)
(-0.293502,-0.00228416)
(-0.293959,-0.00229169)
(-0.294418,-0.00229925)
(-0.294879,-0.00230686)
 (-0.295341,-0.0023145)
(-0.295804,-0.00232219)
(-0.296269,-0.00232991)
(-0.296736,-0.00233768)
(-0.297204,-0.00234549)
(-0.297674,-0.00235334)
(-0.298146,-0.00236122)
(-0.298619,-0.00236915)
(-0.299093,-0.00237713)
(-0.299569,-0.00238514)
 (-0.300047,-0.0023932)
 (-0.300526,-0.0024013)
(-0.301007,-0.00240945)
 (-0.30149,-0.00241763)
(-0.301974,-0.00242586)
 (-0.30246,-0.00243414)
(-0.302948,-0.00244246)
(-0.303437,-0.00245083)
(-0.303928,-0.00245924)
(-0.304421,-0.00246769)
 (-0.304915,-0.0024762)
(-0.305411,-0.00248474)
(-0.305909,-0.00249334)
(-0.306408,-0.00250198)
(-0.306909,-0.00251067)
(-0.307412,-0.00251941)
(-0.307917,-0.00252819)
(-0.308423,-0.00253703)
(-0.308932,-0.00254591)
(-0.309442,-0.00255484)
(-0.309953,-0.00256382)
(-0.310467,-0.00257285)
(-0.310982,-0.00258193)
  (-0.3115,-0.00259107)
(-0.312019,-0.00260025)
(-0.312539,-0.00260949)
(-0.313062,-0.00261877)
(-0.313587,-0.00262811)
 (-0.314113,-0.0026375)
(-0.314642,-0.00264695)
(-0.315172,-0.00265645)
  (-0.315704,-0.002666)
(-0.316238,-0.00267561)
(-0.316774,-0.00268527)
(-0.317312,-0.00269499)
(-0.317852,-0.00270476)
(-0.318394,-0.00271459)
(-0.318938,-0.00272447)
(-0.319483,-0.00273442)
(-0.320031,-0.00274442)
(-0.320581,-0.00275448)
(-0.321133,-0.00276459)
(-0.321687,-0.00277477)
(-0.322242,-0.00278501)
   (-0.3228,-0.0027953)
 (-0.32336,-0.00280566)
(-0.323922,-0.00281607)
(-0.324487,-0.00282655)
(-0.325053,-0.00283709)
(-0.325621,-0.00284769)
(-0.326192,-0.00285836)
(-0.326764,-0.00286909)
(-0.327339,-0.00287988)
(-0.327916,-0.00289074)
(-0.328495,-0.00290166)
(-0.329077,-0.00291265)
  (-0.32966,-0.0029237)
(-0.330246,-0.00293483)
(-0.330834,-0.00294601)
(-0.331424,-0.00295727)
(-0.332016,-0.00296859)
(-0.332611,-0.00297999)
(-0.333208,-0.00299145)
(-0.333808,-0.00300298)
(-0.334409,-0.00301459)
(-0.335013,-0.00302626)
(-0.335619,-0.00303801)
(-0.336228,-0.00304983)
(-0.336839,-0.00306173)
(-0.337453,-0.00307369)
(-0.338068,-0.00308574)
(-0.338687,-0.00309785)
(-0.339307,-0.00311005)
 (-0.33993,-0.00312232)
(-0.340556,-0.00313466)
(-0.341184,-0.00314709)
(-0.341815,-0.00315959)
(-0.342448,-0.00317217)
(-0.343083,-0.00318484)
(-0.343721,-0.00319758)
 (-0.344362,-0.0032104)
(-0.345005,-0.00322331)
 (-0.345651,-0.0032363)
(-0.346299,-0.00324937)
 (-0.34695,-0.00326253)
(-0.347604,-0.00327577)
  (-0.34826,-0.0032891)
 (-0.34892,-0.00330252)
(-0.349581,-0.00331602)
(-0.350246,-0.00332961)
(-0.350913,-0.00334329)
(-0.351583,-0.00335706)
(-0.352255,-0.00337092)
(-0.352931,-0.00338487)
(-0.353609,-0.00339892)
 (-0.35429,-0.00341306)
(-0.354974,-0.00342729)
(-0.355661,-0.00344161)
 (-0.35635,-0.00345604)
(-0.357043,-0.00347056)
(-0.357738,-0.00348517)
(-0.358436,-0.00349989)
(-0.359138,-0.00351471)
(-0.359842,-0.00352962)
(-0.360549,-0.00354464)
 (-0.36126,-0.00355976)
(-0.361973,-0.00357498)
(-0.362689,-0.00359031)
(-0.363409,-0.00360574)
(-0.364131,-0.00362128)
(-0.364857,-0.00363693)
(-0.365586,-0.00365269)
(-0.366317,-0.00366855)
(-0.367053,-0.00368453)
(-0.367791,-0.00370061)
(-0.368532,-0.00371682)
(-0.369277,-0.00373313)
(-0.370025,-0.00374956)
(-0.370777,-0.00376611)
(-0.371531,-0.00378277)
(-0.372289,-0.00379955)
(-0.373051,-0.00381645)
(-0.373816,-0.00383347)
(-0.374584,-0.00385062)
(-0.375355,-0.00386789)
(-0.376131,-0.00388528)
 (-0.376909,-0.0039028)
(-0.377691,-0.00392044)
(-0.378477,-0.00393822)
(-0.379266,-0.00395612)
(-0.380059,-0.00397415)
(-0.380855,-0.00399232)
(-0.381655,-0.00401062)
(-0.382459,-0.00402906)
(-0.383267,-0.00404763)
(-0.384078,-0.00406634)
(-0.384893,-0.00408519)
(-0.385711,-0.00410419)
(-0.386534,-0.00412332)
  (-0.38736,-0.0041426)
 (-0.38819,-0.00416202)
(-0.389025,-0.00418159)
