  (-0.1226,-0.000774706)
(-0.122756,-0.000776729)
 (-0.122911,-0.00077876)
(-0.123067,-0.000780799)
(-0.123223,-0.000782846)
 (-0.12338,-0.000784902)
(-0.123537,-0.000786965)
(-0.123695,-0.000789038)
(-0.123853,-0.000791118)
(-0.124011,-0.000793208)
 (-0.12417,-0.000795305)
(-0.124329,-0.000797412)
(-0.124489,-0.000799527)
(-0.124649,-0.000801651)
 (-0.12481,-0.000803783)
(-0.124971,-0.000805924)
(-0.125132,-0.000808074)
(-0.125294,-0.000810233)
(-0.125456,-0.000812401)
(-0.125619,-0.000814578)
(-0.125782,-0.000816764)
(-0.125946,-0.000818959)
 (-0.12611,-0.000821163)
(-0.126274,-0.000823376)
(-0.126439,-0.000825599)
(-0.126604,-0.000827831)
 (-0.12677,-0.000830072)
(-0.126936,-0.000832323)
(-0.127103,-0.000834583)
 (-0.12727,-0.000836853)
(-0.127438,-0.000839132)
(-0.127606,-0.000841421)
(-0.127774,-0.000843719)
(-0.127943,-0.000846027)
(-0.128112,-0.000848346)
(-0.128282,-0.000850673)
(-0.128453,-0.000853011)
(-0.128624,-0.000855359)
(-0.128795,-0.000857717)
(-0.128967,-0.000860085)
(-0.129139,-0.000862463)
(-0.129312,-0.000864851)
 (-0.129485,-0.00086725)
(-0.129658,-0.000869659)
(-0.129833,-0.000872078)
(-0.130007,-0.000874508)
(-0.130182,-0.000876948)
(-0.130358,-0.000879399)
 (-0.130534,-0.00088186)
(-0.130711,-0.000884332)
(-0.130888,-0.000886815)
(-0.131065,-0.000889309)
(-0.131243,-0.000891814)
(-0.131422,-0.000894329)
(-0.131601,-0.000896856)
(-0.131781,-0.000899394)
(-0.131961,-0.000901943)
(-0.132141,-0.000904503)
(-0.132323,-0.000907074)
(-0.132504,-0.000909657)
(-0.132686,-0.000912251)
(-0.132869,-0.000914857)
(-0.133052,-0.000917475)
(-0.133236,-0.000920104)
 (-0.13342,-0.000922744)
(-0.133605,-0.000925397)
 (-0.13379,-0.000928061)
(-0.133976,-0.000930738)
(-0.134163,-0.000933426)
 (-0.13435,-0.000936126)
(-0.134537,-0.000938839)
(-0.134725,-0.000941564)
(-0.134914,-0.000944301)
 (-0.135103,-0.00094705)
(-0.135292,-0.000949812)
(-0.135483,-0.000952587)
(-0.135673,-0.000955374)
(-0.135865,-0.000958174)
(-0.136057,-0.000960987)
(-0.136249,-0.000963812)
(-0.136442,-0.000966651)
(-0.136636,-0.000969502)
 (-0.13683,-0.000972367)
(-0.137025,-0.000975245)
 (-0.13722,-0.000978136)
 (-0.137416,-0.00098104)
(-0.137612,-0.000983958)
