 (-0.269686,-0.00191165)
 (-0.270069,-0.00191734)
 (-0.270453,-0.00192306)
 (-0.270838,-0.00192881)
 (-0.271224,-0.00193458)
 (-0.271612,-0.00194038)
    (-0.272,-0.00194621)
  (-0.27239,-0.00195206)
 (-0.272781,-0.00195794)
 (-0.273173,-0.00196385)
 (-0.273567,-0.00196979)
 (-0.273961,-0.00197576)
 (-0.274357,-0.00198175)
 (-0.274754,-0.00198777)
 (-0.275152,-0.00199382)
  (-0.275551,-0.0019999)
 (-0.275952,-0.00200601)
 (-0.276353,-0.00201215)
 (-0.276756,-0.00201832)
 (-0.277161,-0.00202452)
 (-0.277566,-0.00203074)
   (-0.277973,-0.002037)
 (-0.278381,-0.00204329)
  (-0.27879,-0.00204961)
 (-0.279201,-0.00205595)
 (-0.279612,-0.00206233)
 (-0.280025,-0.00206874)
  (-0.28044,-0.00207519)
 (-0.280855,-0.00208166)
 (-0.281272,-0.00208816)
  (-0.281691,-0.0020947)
  (-0.28211,-0.00210127)
 (-0.282531,-0.00210787)
 (-0.282953,-0.00211451)
 (-0.283377,-0.00212117)
 (-0.283801,-0.00212787)
 (-0.284228,-0.00213461)
 (-0.284655,-0.00214137)
 (-0.285084,-0.00214817)
 (-0.285514,-0.00215501)
 (-0.285946,-0.00216188)
 (-0.286379,-0.00216878)
 (-0.286813,-0.00217572)
 (-0.287249,-0.00218269)
  (-0.287686,-0.0021897)
 (-0.288125,-0.00219674)
 (-0.288565,-0.00220382)
 (-0.289006,-0.00221093)
 (-0.289449,-0.00221808)
 (-0.289893,-0.00222527)
  (-0.290339,-0.0022325)
 (-0.290786,-0.00223976)
 (-0.291235,-0.00224705)
 (-0.291685,-0.00225439)
 (-0.292137,-0.00226176)
  (-0.29259,-0.00226917)
 (-0.293044,-0.00227662)
   (-0.2935,-0.00228411)
 (-0.293958,-0.00229164)
  (-0.294417,-0.0022992)
 (-0.294877,-0.00230681)
 (-0.295339,-0.00231445)
 (-0.295803,-0.00232214)
 (-0.296268,-0.00232986)
 (-0.296735,-0.00233763)
 (-0.297203,-0.00234543)
 (-0.297673,-0.00235328)
 (-0.298144,-0.00236117)
  (-0.298617,-0.0023691)
 (-0.299092,-0.00237707)
 (-0.299568,-0.00238509)
 (-0.300045,-0.00239314)
 (-0.300525,-0.00240124)
 (-0.301006,-0.00240939)
 (-0.301488,-0.00241757)
 (-0.301973,-0.00242581)
 (-0.302459,-0.00243408)
  (-0.302946,-0.0024424)
 (-0.303435,-0.00245077)
 (-0.303926,-0.00245918)
 (-0.304419,-0.00246763)
 (-0.304913,-0.00247613)
 (-0.305409,-0.00248468)
 (-0.305907,-0.00249328)
 (-0.306406,-0.00250192)
 (-0.306908,-0.00251061)
 (-0.307411,-0.00251934)
 (-0.307915,-0.00252813)
 (-0.308422,-0.00253696)
  (-0.30893,-0.00254584)
  (-0.30944,-0.00255477)
 (-0.309952,-0.00256375)
 (-0.310465,-0.00257278)
 (-0.310981,-0.00258187)
   (-0.311498,-0.002591)
 (-0.312017,-0.00260018)
 (-0.312538,-0.00260941)
   (-0.31306,-0.0026187)
 (-0.313585,-0.00262804)
 (-0.314111,-0.00263743)
  (-0.31464,-0.00264687)
  (-0.31517,-0.00265637)
 (-0.315702,-0.00266592)
 (-0.316236,-0.00267553)
 (-0.316772,-0.00268519)
  (-0.31731,-0.00269491)
