(-0.127625,-0.000851962)
 (-0.127796,-0.00085434)
(-0.127967,-0.000856728)
(-0.128138,-0.000859127)
 (-0.12831,-0.000861537)
(-0.128483,-0.000863956)
(-0.128656,-0.000866387)
(-0.128829,-0.000868828)
 (-0.129003,-0.00087128)
(-0.129178,-0.000873743)
(-0.129353,-0.000876216)
(-0.129528,-0.000878701)
(-0.129704,-0.000881197)
(-0.129881,-0.000883703)
(-0.130058,-0.000886221)
 (-0.130235,-0.00088875)
 (-0.130413,-0.00089129)
(-0.130592,-0.000893842)
(-0.130771,-0.000896405)
 (-0.13095,-0.000898979)
 (-0.13113,-0.000901565)
(-0.131311,-0.000904163)
(-0.131492,-0.000906772)
(-0.131674,-0.000909393)
(-0.131856,-0.000912026)
(-0.132038,-0.000914671)
(-0.132221,-0.000917328)
(-0.132405,-0.000919997)
(-0.132589,-0.000922678)
(-0.132774,-0.000925371)
 (-0.13296,-0.000928077)
(-0.133145,-0.000930795)
(-0.133332,-0.000933525)
(-0.133519,-0.000936268)
(-0.133706,-0.000939024)
(-0.133894,-0.000941792)
(-0.134083,-0.000944573)
(-0.134272,-0.000947367)
(-0.134462,-0.000950174)
(-0.134652,-0.000952993)
(-0.134843,-0.000955826)
(-0.135034,-0.000958672)
(-0.135226,-0.000961532)
(-0.135419,-0.000964405)
(-0.135612,-0.000967291)
 (-0.135806,-0.00097019)
   (-0.136,-0.000973104)
(-0.136195,-0.000976031)
(-0.136391,-0.000978972)
(-0.136587,-0.000981926)
(-0.136783,-0.000984895)
(-0.136981,-0.000987878)
(-0.137178,-0.000990875)
(-0.137377,-0.000993886)
(-0.137576,-0.000996912)
(-0.137776,-0.000999952)
 (-0.137976,-0.00100301)
 (-0.138177,-0.00100608)
 (-0.138378,-0.00100916)
  (-0.13858,-0.00101226)
 (-0.138783,-0.00101537)
  (-0.138986,-0.0010185)
  (-0.13919,-0.00102164)
  (-0.139395,-0.0010248)
   (-0.1396,-0.00102798)
 (-0.139806,-0.00103117)
 (-0.140013,-0.00103437)
  (-0.14022,-0.00103759)
 (-0.140428,-0.00104083)
 (-0.140636,-0.00104408)
 (-0.140845,-0.00104735)
 (-0.141055,-0.00105064)
 (-0.141265,-0.00105394)
 (-0.141477,-0.00105725)
 (-0.141688,-0.00106059)
 (-0.141901,-0.00106394)
  (-0.142114,-0.0010673)
 (-0.142328,-0.00107069)
 (-0.142542,-0.00107409)
  (-0.142757,-0.0010775)
 (-0.142973,-0.00108094)
  (-0.14319,-0.00108439)
 (-0.143407,-0.00108786)
 (-0.143625,-0.00109134)
 (-0.143843,-0.00109485)
 (-0.144062,-0.00109837)
 (-0.144282,-0.00110191)
 (-0.144503,-0.00110547)
 (-0.144725,-0.00110904)
 (-0.144947,-0.00111264)
  (-0.14517,-0.00111625)
 (-0.145393,-0.00111988)
 (-0.145617,-0.00112353)
 (-0.145843,-0.00112719)
 (-0.146068,-0.00113088)
 (-0.146295,-0.00113459)
 (-0.146522,-0.00113831)
  (-0.14675,-0.00114206)
 (-0.146979,-0.00114582)
  (-0.147208,-0.0011496)
  (-0.147439,-0.0011534)
  (-0.14767,-0.00115723)
 (-0.147901,-0.00116107)
 (-0.148134,-0.00116493)
 (-0.148367,-0.00116881)
 (-0.148601,-0.00117272)
 (-0.148836,-0.00117664)
 (-0.149072,-0.00118058)
 (-0.149309,-0.00118455)
 (-0.149546,-0.00118854)
 (-0.149784,-0.00119254)
 (-0.150023,-0.00119657)
 (-0.150262,-0.00120062)
 (-0.150503,-0.00120469)
 (-0.150744,-0.00120879)
  (-0.150986,-0.0012129)
 (-0.151229,-0.00121704)
  (-0.151473,-0.0012212)
 (-0.151718,-0.00122538)
 (-0.151963,-0.00122959)
 (-0.152209,-0.00123382)
 (-0.152457,-0.00123807)
 (-0.152705,-0.00124234)
 (-0.152954,-0.00124664)
 (-0.153203,-0.00125096)
  (-0.153454,-0.0012553)
 (-0.153705,-0.00125967)
 (-0.153958,-0.00126406)
 (-0.154211,-0.00126848)
 (-0.154465,-0.00127292)
  (-0.15472,-0.00127739)
 (-0.154976,-0.00128188)
 (-0.155233,-0.00128639)
  (-0.15549,-0.00129093)
  (-0.155749,-0.0012955)
 (-0.156008,-0.00130009)
 (-0.156269,-0.00130471)
  (-0.15653,-0.00130935)
 (-0.156792,-0.00131402)
 (-0.157056,-0.00131872)
  (-0.15732,-0.00132344)
 (-0.157585,-0.00132819)
 (-0.157851,-0.00133296)
 (-0.158118,-0.00133777)
  (-0.158386,-0.0013426)
 (-0.158655,-0.00134745)
 (-0.158925,-0.00135234)
 (-0.159196,-0.00135726)
  (-0.159468,-0.0013622)
 (-0.159741,-0.00136717)
 (-0.160015,-0.00137217)
  (-0.160289,-0.0013772)
 (-0.160565,-0.00138226)
 (-0.160842,-0.00138734)
  (-0.16112,-0.00139246)
 (-0.161399,-0.00139761)
 (-0.161679,-0.00140279)
  (-0.16196,-0.00140799)
 (-0.162242,-0.00141323)
  (-0.162525,-0.0014185)
   (-0.16281,-0.0014238)
 (-0.163095,-0.00142914)
  (-0.163381,-0.0014345)
  (-0.163668,-0.0014399)
 (-0.163957,-0.00144532)
 (-0.164246,-0.00145078)
 (-0.164537,-0.00145628)
  (-0.164829,-0.0014618)
 (-0.165122,-0.00146737)
