(-0.122579,-0.000774294)
(-0.122734,-0.000776315)
 (-0.12289,-0.000778344)
(-0.123046,-0.000780381)
(-0.123202,-0.000782426)
(-0.123359,-0.000784479)
(-0.123516,-0.000786541)
(-0.123673,-0.000788612)
 (-0.123831,-0.00079069)
(-0.123989,-0.000792778)
(-0.124148,-0.000794873)
(-0.124307,-0.000796978)
(-0.124467,-0.000799091)
(-0.124627,-0.000801212)
(-0.124787,-0.000803343)
(-0.124948,-0.000805482)
  (-0.12511,-0.00080763)
(-0.125271,-0.000809787)
(-0.125433,-0.000811952)
(-0.125596,-0.000814127)
(-0.125759,-0.000816311)
(-0.125922,-0.000818504)
(-0.126086,-0.000820706)
(-0.126251,-0.000822917)
(-0.126416,-0.000825137)
(-0.126581,-0.000827367)
(-0.126746,-0.000829606)
(-0.126913,-0.000831854)
(-0.127079,-0.000834112)
 (-0.127246,-0.00083638)
(-0.127414,-0.000838657)
(-0.127582,-0.000840943)
  (-0.12775,-0.00084324)
(-0.127919,-0.000845546)
(-0.128088,-0.000847861)
(-0.128258,-0.000850187)
(-0.128428,-0.000852522)
(-0.128599,-0.000854868)
 (-0.12877,-0.000857223)
(-0.128942,-0.000859589)
(-0.129114,-0.000861965)
(-0.129287,-0.000864351)
 (-0.12946,-0.000866747)
(-0.129633,-0.000869153)
 (-0.129807,-0.00087157)
(-0.129982,-0.000873997)
(-0.130157,-0.000876435)
(-0.130332,-0.000878884)
(-0.130508,-0.000881343)
(-0.130685,-0.000883812)
(-0.130862,-0.000886293)
(-0.131039,-0.000888784)
(-0.131217,-0.000891286)
(-0.131396,-0.000893799)
(-0.131575,-0.000896323)
(-0.131754,-0.000898858)
(-0.131934,-0.000901405)
(-0.132115,-0.000903962)
(-0.132296,-0.000906531)
(-0.132477,-0.000909111)
 (-0.13266,-0.000911703)
(-0.132842,-0.000914306)
(-0.133025,-0.000916921)
(-0.133209,-0.000919547)
(-0.133393,-0.000922185)
(-0.133578,-0.000924835)
(-0.133763,-0.000927497)
 (-0.133949,-0.00093017)
(-0.134135,-0.000932856)
(-0.134322,-0.000935554)
(-0.134509,-0.000938263)
(-0.134697,-0.000940985)
 (-0.134885,-0.00094372)
(-0.135074,-0.000946466)
(-0.135264,-0.000949226)
(-0.135454,-0.000951997)
(-0.135645,-0.000954782)
(-0.135836,-0.000957579)
(-0.136028,-0.000960388)
 (-0.13622,-0.000963211)
(-0.136413,-0.000966047)
(-0.136606,-0.000968895)
  (-0.1368,-0.000971757)
(-0.136995,-0.000974632)
  (-0.13719,-0.00097752)
(-0.137386,-0.000980421)
(-0.137582,-0.000983336)
(-0.137779,-0.000986265)
(-0.137977,-0.000989207)
(-0.138175,-0.000992162)
(-0.138374,-0.000995132)
(-0.138573,-0.000998115)
 (-0.138773,-0.00100111)
 (-0.138973,-0.00100412)
 (-0.139175,-0.00100715)
 (-0.139376,-0.00101019)
 (-0.139579,-0.00101324)
 (-0.139781,-0.00101631)
  (-0.139985,-0.0010194)
 (-0.140189,-0.00102249)
 (-0.140394,-0.00102561)
 (-0.140599,-0.00102873)
 (-0.140805,-0.00103187)
 (-0.141012,-0.00103503)
  (-0.141219,-0.0010382)
 (-0.141427,-0.00104139)
 (-0.141636,-0.00104459)
 (-0.141845,-0.00104781)
 (-0.142055,-0.00105105)
 (-0.142265,-0.00105429)
 (-0.142477,-0.00105756)
 (-0.142688,-0.00106084)
 (-0.142901,-0.00106414)
 (-0.143114,-0.00106745)
 (-0.143328,-0.00107078)
 (-0.143542,-0.00107412)
 (-0.143757,-0.00107749)
 (-0.143973,-0.00108086)
  (-0.14419,-0.00108426)
 (-0.144407,-0.00108767)
  (-0.144625,-0.0010911)
 (-0.144843,-0.00109454)
   (-0.145062,-0.001098)
 (-0.145282,-0.00110148)
 (-0.145503,-0.00110498)
 (-0.145724,-0.00110849)
 (-0.145946,-0.00111202)
 (-0.146169,-0.00111557)
 (-0.146393,-0.00111914)
 (-0.146617,-0.00112272)
 (-0.146842,-0.00112633)
 (-0.147067,-0.00112995)
 (-0.147293,-0.00113359)
 (-0.147521,-0.00113724)
 (-0.147748,-0.00114092)
 (-0.147977,-0.00114461)
 (-0.148206,-0.00114833)
 (-0.148436,-0.00115206)
 (-0.148667,-0.00115581)
 (-0.148898,-0.00115958)
 (-0.149131,-0.00116337)
 (-0.149364,-0.00116718)
 (-0.149597,-0.00117101)
 (-0.149832,-0.00117486)
 (-0.150067,-0.00117873)
 (-0.150303,-0.00118262)
  (-0.15054,-0.00118652)
 (-0.150778,-0.00119045)
  (-0.151016,-0.0011944)
 (-0.151256,-0.00119837)
 (-0.151496,-0.00120236)
 (-0.151737,-0.00120638)
 (-0.151978,-0.00121041)
 (-0.152221,-0.00121446)
 (-0.152464,-0.00121854)
 (-0.152708,-0.00122263)
 (-0.152953,-0.00122675)
 (-0.153199,-0.00123089)
 (-0.153445,-0.00123506)
 (-0.153693,-0.00123924)
 (-0.153941,-0.00124345)
  (-0.15419,-0.00124768)
  (-0.15444,-0.00125193)
  (-0.154691,-0.0012562)
  (-0.154942,-0.0012605)
 (-0.155195,-0.00126482)
 (-0.155448,-0.00126917)
 (-0.155702,-0.00127354)
 (-0.155957,-0.00127793)
 (-0.156213,-0.00128234)
  (-0.15647,-0.00128678)
 (-0.156728,-0.00129125)
 (-0.156987,-0.00129574)
 (-0.157246,-0.00130025)
 (-0.157507,-0.00130479)
 (-0.157768,-0.00130935)
  (-0.15803,-0.00131394)
 (-0.158294,-0.00131855)
 (-0.158558,-0.00132319)
 (-0.158823,-0.00132786)
 (-0.159089,-0.00133255)
 (-0.159356,-0.00133726)
 (-0.159624,-0.00134201)
 (-0.159892,-0.00134678)
 (-0.160162,-0.00135157)
  (-0.160433,-0.0013564)
 (-0.160705,-0.00136125)
 (-0.160977,-0.00136613)
 (-0.161251,-0.00137103)
 (-0.161526,-0.00137597)
 (-0.161801,-0.00138093)
 (-0.162078,-0.00138592)
 (-0.162356,-0.00139094)
 (-0.162634,-0.00139599)
 (-0.162914,-0.00140107)
 (-0.163195,-0.00140617)
 (-0.163476,-0.00141131)
 (-0.163759,-0.00141647)
 (-0.164043,-0.00142167)
  (-0.164328,-0.0014269)
 (-0.164613,-0.00143215)
   (-0.1649,-0.00143744)
 (-0.165188,-0.00144276)
 (-0.165477,-0.00144811)
 (-0.165767,-0.00145349)
  (-0.166059,-0.0014589)
 (-0.166351,-0.00146434)
 (-0.166644,-0.00146982)
 (-0.166939,-0.00147533)
 (-0.167234,-0.00148087)
 (-0.167531,-0.00148645)
 (-0.167829,-0.00149206)
  (-0.168128,-0.0014977)
 (-0.168428,-0.00150337)
 (-0.168729,-0.00150908)
 (-0.169031,-0.00151483)
 (-0.169335,-0.00152061)
 (-0.169639,-0.00152642)
 (-0.169945,-0.00153227)
 (-0.170252,-0.00153816)
  (-0.17056,-0.00154408)
  (-0.17087,-0.00155004)
  (-0.17118,-0.00155604)
 (-0.171492,-0.00156207)
 (-0.171805,-0.00156814)
 (-0.172119,-0.00157424)
 (-0.172434,-0.00158039)
 (-0.172751,-0.00158657)
 (-0.173069,-0.00159279)
 (-0.173388,-0.00159905)
 (-0.173708,-0.00160535)
  (-0.17403,-0.00161169)
 (-0.174353,-0.00161807)
 (-0.174677,-0.00162449)
 (-0.175003,-0.00163095)
 (-0.175329,-0.00163745)
   (-0.175658,-0.001644)
 (-0.175987,-0.00165058)
 (-0.176318,-0.00165721)
  (-0.17665,-0.00166388)
 (-0.176983,-0.00167059)
 (-0.177318,-0.00167735)
 (-0.177654,-0.00168415)
 (-0.177991,-0.00169099)
  (-0.17833,-0.00169788)
  (-0.17867,-0.00170481)
 (-0.179012,-0.00171179)
 (-0.179355,-0.00171881)
 (-0.179699,-0.00172588)
   (-0.180045,-0.001733)
 (-0.180392,-0.00174016)
 (-0.180741,-0.00174738)
 (-0.181091,-0.00175464)
 (-0.181443,-0.00176194)
  (-0.181796,-0.0017693)
  (-0.18215,-0.00177671)
 (-0.182506,-0.00178416)
 (-0.182864,-0.00179167)
 (-0.183223,-0.00179923)
 (-0.183583,-0.00180684)
  (-0.183945,-0.0018145)
 (-0.184309,-0.00182221)
 (-0.184674,-0.00182997)
 (-0.185041,-0.00183779)
 (-0.185409,-0.00184566)
