(-0.127602,-0.000851508)
(-0.127773,-0.000853884)
 (-0.127944,-0.00085627)
(-0.128115,-0.000858666)
(-0.128287,-0.000861074)
 (-0.12846,-0.000863491)
(-0.128633,-0.000865919)
(-0.128806,-0.000868358)
 (-0.12898,-0.000870808)
(-0.129154,-0.000873268)
 (-0.129329,-0.00087574)
(-0.129505,-0.000878222)
(-0.129681,-0.000880715)
(-0.129857,-0.000883219)
(-0.130034,-0.000885735)
(-0.130211,-0.000888261)
(-0.130389,-0.000890799)
(-0.130567,-0.000893348)
(-0.130746,-0.000895909)
(-0.130926,-0.000898481)
(-0.131106,-0.000901064)
(-0.131286,-0.000903659)
(-0.131467,-0.000906266)
(-0.131649,-0.000908885)
(-0.131831,-0.000911515)
(-0.132013,-0.000914158)
(-0.132196,-0.000916812)
 (-0.13238,-0.000919478)
(-0.132564,-0.000922157)
(-0.132749,-0.000924848)
(-0.132934,-0.000927551)
 (-0.13312,-0.000930266)
(-0.133306,-0.000932994)
(-0.133493,-0.000935734)
 (-0.13368,-0.000938487)
(-0.133868,-0.000941252)
(-0.134057,-0.000944031)
(-0.134246,-0.000946822)
(-0.134435,-0.000949626)
(-0.134626,-0.000952443)
(-0.134816,-0.000955273)
(-0.135008,-0.000958117)
  (-0.1352,-0.000960973)
(-0.135392,-0.000963843)
(-0.135585,-0.000966727)
(-0.135779,-0.000969623)
(-0.135973,-0.000972534)
(-0.136168,-0.000975458)
(-0.136363,-0.000978396)
(-0.136559,-0.000981348)
(-0.136755,-0.000984314)
(-0.136953,-0.000987293)
 (-0.13715,-0.000990287)
(-0.137349,-0.000993296)
(-0.137548,-0.000996318)
(-0.137747,-0.000999355)
 (-0.137947,-0.00100241)
 (-0.138148,-0.00100547)
 (-0.138349,-0.00100855)
 (-0.138551,-0.00101165)
 (-0.138754,-0.00101476)
 (-0.138957,-0.00101789)
 (-0.139161,-0.00102103)
 (-0.139366,-0.00102418)
 (-0.139571,-0.00102735)
 (-0.139777,-0.00103054)
 (-0.139983,-0.00103374)
  (-0.14019,-0.00103696)
 (-0.140398,-0.00104019)
 (-0.140606,-0.00104344)
 (-0.140815,-0.00104671)
 (-0.141025,-0.00104999)
 (-0.141235,-0.00105329)
  (-0.141446,-0.0010566)
 (-0.141658,-0.00105993)
  (-0.14187,-0.00106328)
 (-0.142083,-0.00106664)
 (-0.142296,-0.00107002)
 (-0.142511,-0.00107342)
 (-0.142726,-0.00107683)
 (-0.142941,-0.00108026)
 (-0.143158,-0.00108371)
 (-0.143375,-0.00108717)
 (-0.143593,-0.00109066)
 (-0.143811,-0.00109416)
  (-0.14403,-0.00109768)
  (-0.14425,-0.00110121)
 (-0.144471,-0.00110476)
 (-0.144692,-0.00110834)
 (-0.144914,-0.00111193)
 (-0.145137,-0.00111553)
  (-0.14536,-0.00111916)
 (-0.145584,-0.00112281)
 (-0.145809,-0.00112647)
 (-0.146035,-0.00113015)
 (-0.146261,-0.00113386)
 (-0.146488,-0.00113758)
 (-0.146716,-0.00114132)
 (-0.146945,-0.00114508)
 (-0.147174,-0.00114885)
 (-0.147404,-0.00115265)
 (-0.147635,-0.00115647)
 (-0.147867,-0.00116031)
 (-0.148099,-0.00116417)
 (-0.148332,-0.00116805)
 (-0.148566,-0.00117195)
 (-0.148801,-0.00117587)
 (-0.149037,-0.00117981)
 (-0.149273,-0.00118377)
  (-0.14951,-0.00118775)
 (-0.149748,-0.00119175)
 (-0.149987,-0.00119578)
 (-0.150226,-0.00119982)
 (-0.150466,-0.00120389)
 (-0.150708,-0.00120798)
  (-0.15095,-0.00121209)
 (-0.151192,-0.00121622)
 (-0.151436,-0.00122038)
  (-0.15168,-0.00122456)
 (-0.151926,-0.00122876)
 (-0.152172,-0.00123298)
 (-0.152419,-0.00123723)
  (-0.152667,-0.0012415)
 (-0.152915,-0.00124579)
 (-0.153165,-0.00125011)
 (-0.153415,-0.00125445)
 (-0.153667,-0.00125881)
  (-0.153919,-0.0012632)
 (-0.154172,-0.00126761)
 (-0.154426,-0.00127205)
 (-0.154681,-0.00127651)
 (-0.154936,-0.00128099)
 (-0.155193,-0.00128551)
  (-0.15545,-0.00129004)
  (-0.155709,-0.0012946)
 (-0.155968,-0.00129919)
  (-0.156228,-0.0013038)
  (-0.15649,-0.00130844)
  (-0.156752,-0.0013131)
  (-0.157015,-0.0013178)
 (-0.157279,-0.00132251)
 (-0.157544,-0.00132726)
  (-0.15781,-0.00133203)
 (-0.158076,-0.00133683)
 (-0.158344,-0.00134165)
 (-0.158613,-0.00134651)
 (-0.158883,-0.00135139)
  (-0.159153,-0.0013563)
 (-0.159425,-0.00136123)
  (-0.159698,-0.0013662)
 (-0.159972,-0.00137119)
 (-0.160246,-0.00137622)
 (-0.160522,-0.00138127)
 (-0.160799,-0.00138635)
 (-0.161076,-0.00139147)
 (-0.161355,-0.00139661)
 (-0.161635,-0.00140178)
 (-0.161916,-0.00140698)
 (-0.162198,-0.00141222)
 (-0.162481,-0.00141748)
 (-0.162764,-0.00142278)
   (-0.16305,-0.0014281)
 (-0.163336,-0.00143346)
 (-0.163623,-0.00143885)
 (-0.163911,-0.00144427)
   (-0.1642,-0.00144973)
 (-0.164491,-0.00145522)
 (-0.164782,-0.00146074)
 (-0.165075,-0.00146629)
 (-0.165369,-0.00147188)
  (-0.165664,-0.0014775)
  (-0.16596,-0.00148316)
 (-0.166257,-0.00148885)
 (-0.166555,-0.00149458)
 (-0.166855,-0.00150034)
 (-0.167155,-0.00150613)
 (-0.167457,-0.00151196)
  (-0.16776,-0.00151783)
 (-0.168064,-0.00152374)
 (-0.168369,-0.00152968)
 (-0.168676,-0.00153565)
 (-0.168983,-0.00154167)
 (-0.169292,-0.00154772)
 (-0.169602,-0.00155381)
 (-0.169914,-0.00155994)
  (-0.170226,-0.0015661)
  (-0.17054,-0.00157231)
 (-0.170855,-0.00157856)
 (-0.171171,-0.00158484)
 (-0.171489,-0.00159116)
 (-0.171808,-0.00159753)
 (-0.172128,-0.00160393)
 (-0.172449,-0.00161038)
 (-0.172772,-0.00161687)
  (-0.173096,-0.0016234)
 (-0.173421,-0.00162997)
 (-0.173747,-0.00163658)
 (-0.174075,-0.00164324)
 (-0.174405,-0.00164994)
 (-0.174735,-0.00165669)
 (-0.175067,-0.00166347)
   (-0.1754,-0.00167031)
 (-0.175735,-0.00167718)
 (-0.176071,-0.00168411)
 (-0.176409,-0.00169108)
 (-0.176747,-0.00169809)
 (-0.177088,-0.00170515)
 (-0.177429,-0.00171226)
 (-0.177772,-0.00171942)
 (-0.178117,-0.00172662)
 (-0.178463,-0.00173387)
  (-0.17881,-0.00174117)
 (-0.179159,-0.00174852)
  (-0.17951,-0.00175592)
 (-0.179861,-0.00176338)
 (-0.180215,-0.00177088)
  (-0.18057,-0.00177843)
 (-0.180926,-0.00178603)
 (-0.181284,-0.00179369)
  (-0.181643,-0.0018014)
 (-0.182004,-0.00180916)
 (-0.182367,-0.00181697)
 (-0.182731,-0.00182484)
 (-0.183097,-0.00183277)
 (-0.183464,-0.00184075)
 (-0.183833,-0.00184878)
 (-0.184203,-0.00185688)
 (-0.184575,-0.00186503)
 (-0.184949,-0.00187323)
  (-0.185324,-0.0018815)
 (-0.185701,-0.00188982)
   (-0.18608,-0.0018982)
  (-0.18646,-0.00190664)
 (-0.186843,-0.00191515)
 (-0.187226,-0.00192371)
 (-0.187612,-0.00193234)
 (-0.187999,-0.00194102)
 (-0.188388,-0.00194977)
 (-0.188779,-0.00195859)
 (-0.189171,-0.00196747)
 (-0.189565,-0.00197641)
 (-0.189962,-0.00198542)
 (-0.190359,-0.00199449)
 (-0.190759,-0.00200364)
 (-0.191161,-0.00201285)
 (-0.191564,-0.00202212)
 (-0.191969,-0.00203147)
 (-0.192376,-0.00204089)
 (-0.192785,-0.00205037)
 (-0.193196,-0.00205993)
 (-0.193609,-0.00206956)
 (-0.194024,-0.00207926)
 (-0.194441,-0.00208904)
 (-0.194859,-0.00209889)
  (-0.19528,-0.00210882)
 (-0.195703,-0.00211882)
  (-0.196127,-0.0021289)
 (-0.196554,-0.00213905)
 (-0.196983,-0.00214929)
  (-0.197413,-0.0021596)
 (-0.197846,-0.00216999)
 (-0.198281,-0.00218047)
 (-0.198718,-0.00219102)
 (-0.199157,-0.00220166)
 (-0.199598,-0.00221238)
 (-0.200042,-0.00222319)
 (-0.200487,-0.00223408)
 (-0.200935,-0.00224506)
 (-0.201385,-0.00225613)
 (-0.201837,-0.00226729)
 (-0.202292,-0.00227853)
 (-0.202749,-0.00228987)
 (-0.203207,-0.00230129)
 (-0.203669,-0.00231281)
 (-0.204132,-0.00232442)
 (-0.204598,-0.00233613)
 (-0.205066,-0.00234794)
 (-0.205537,-0.00235984)
  (-0.20601,-0.00237183)
 (-0.206485,-0.00238393)
 (-0.206963,-0.00239613)
 (-0.207444,-0.00240843)
 (-0.207926,-0.00242083)
 (-0.208412,-0.00243334)
 (-0.208899,-0.00244595)
  (-0.20939,-0.00245866)
 (-0.209882,-0.00247149)
 (-0.210378,-0.00248442)
 (-0.210876,-0.00249747)
 (-0.211376,-0.00251062)
  (-0.21188,-0.00252389)
 (-0.212386,-0.00253727)
 (-0.212894,-0.00255077)
 (-0.213406,-0.00256439)
  (-0.21392,-0.00257812)
 (-0.214436,-0.00259197)
 (-0.214956,-0.00260595)
 (-0.215478,-0.00262005)
 (-0.216004,-0.00263427)
 (-0.216532,-0.00264862)
  (-0.217063,-0.0026631)
  (-0.217597,-0.0026777)
 (-0.218133,-0.00269244)
 (-0.218673,-0.00270731)
 (-0.219216,-0.00272232)
 (-0.219762,-0.00273746)
  (-0.22031,-0.00275273)
 (-0.220862,-0.00276815)
 (-0.221417,-0.00278371)
 (-0.221975,-0.00279941)
 (-0.222536,-0.00281526)
 (-0.223101,-0.00283125)
 (-0.223668,-0.00284739)
 (-0.224239,-0.00286369)
 (-0.224813,-0.00288013)
 (-0.225391,-0.00289673)
 (-0.225972,-0.00291349)
 (-0.226556,-0.00293041)
 (-0.227143,-0.00294749)
 (-0.227734,-0.00296473)
 (-0.228329,-0.00298214)
 (-0.228926,-0.00299971)
 (-0.229528,-0.00301746)
 (-0.230133,-0.00303538)
 (-0.230741,-0.00305347)
 (-0.231354,-0.00307174)
  (-0.23197,-0.00309019)
 (-0.232589,-0.00310882)
 (-0.233213,-0.00312764)
  (-0.23384,-0.00314664)
 (-0.234471,-0.00316584)
 (-0.235105,-0.00318522)
 (-0.235744,-0.00320481)
 (-0.236387,-0.00322459)
 (-0.237033,-0.00324457)
 (-0.237684,-0.00326476)
 (-0.238338,-0.00328515)
 (-0.238997,-0.00330575)
  (-0.23966,-0.00332657)
  (-0.240327,-0.0033476)
 (-0.240998,-0.00336886)
 (-0.241674,-0.00339033)
 (-0.242354,-0.00341203)
 (-0.243038,-0.00343397)
 (-0.243727,-0.00345613)
  (-0.24442,-0.00347853)
 (-0.245117,-0.00350117)
 (-0.245819,-0.00352406)
 (-0.246526,-0.00354719)
 (-0.247237,-0.00357057)
 (-0.247953,-0.00359421)
 (-0.248674,-0.00361811)
   (-0.2494,-0.00364227)
   (-0.25013,-0.0036667)
  (-0.250866,-0.0036914)
 (-0.251606,-0.00371637)
 (-0.252351,-0.00374163)
 (-0.253102,-0.00376717)
   (-0.253857,-0.003793)
 (-0.254618,-0.00381912)
 (-0.255384,-0.00384554)
 (-0.256155,-0.00387227)
  (-0.256932,-0.0038993)
 (-0.257714,-0.00392665)
 (-0.258501,-0.00395432)
 (-0.259294,-0.00398231)
 (-0.260093,-0.00401063)
 (-0.260898,-0.00403928)
 (-0.261708,-0.00406828)
 (-0.262524,-0.00409762)
 (-0.263346,-0.00412732)
 (-0.264174,-0.00415737)
 (-0.265007,-0.00418779)
 (-0.265847,-0.00421858)
 (-0.266694,-0.00424974)
 (-0.267546,-0.00428129)
 (-0.268405,-0.00431323)
  (-0.26927,-0.00434557)
 (-0.270142,-0.00437831)
  (-0.27102,-0.00441147)
 (-0.271905,-0.00444504)
 (-0.272797,-0.00447904)
 (-0.273695,-0.00451348)
 (-0.274601,-0.00454835)
 (-0.275513,-0.00458368)
 (-0.276433,-0.00461947)
 (-0.277359,-0.00465572)
 (-0.278293,-0.00469245)
 (-0.279235,-0.00472967)
 (-0.280184,-0.00476738)
  (-0.28114,-0.00480559)
 (-0.282104,-0.00484431)
 (-0.283076,-0.00488356)
 (-0.284056,-0.00492334)
 (-0.285044,-0.00496367)
 (-0.286039,-0.00500455)
 (-0.287044,-0.00504599)
 (-0.288056,-0.00508801)
 (-0.289077,-0.00513062)
 (-0.290106,-0.00517382)
 (-0.291144,-0.00521764)
 (-0.292191,-0.00526208)
 (-0.293247,-0.00530715)
 (-0.294312,-0.00535288)
 (-0.295386,-0.00539926)
  (-0.29647,-0.00544633)
 (-0.297562,-0.00549408)
 (-0.298665,-0.00554254)
 (-0.299777,-0.00559171)
 (-0.300899,-0.00564163)
 (-0.302031,-0.00569229)
 (-0.303174,-0.00574372)
 (-0.304326,-0.00579593)
 (-0.305489,-0.00584894)
 (-0.306663,-0.00590277)
 (-0.307848,-0.00595743)
 (-0.309043,-0.00601295)
  (-0.31025,-0.00606934)
 (-0.311468,-0.00612662)
 (-0.312698,-0.00618482)
 (-0.313939,-0.00624394)
 (-0.315192,-0.00630403)
 (-0.316457,-0.00636509)
 (-0.317735,-0.00642715)
 (-0.319025,-0.00649023)
 (-0.320328,-0.00655436)
 (-0.321643,-0.00661956)
 (-0.322972,-0.00668586)
 (-0.324314,-0.00675328)
 (-0.325669,-0.00682185)
  (-0.327039,-0.0068916)
