(-0.121169,-0.000764679)
(-0.121322,-0.000766689)
(-0.121476,-0.000768707)
 (-0.12163,-0.000770733)
(-0.121784,-0.000772768)
(-0.121939,-0.000774811)
(-0.122094,-0.000776862)
 (-0.12225,-0.000778922)
(-0.122406,-0.000780991)
(-0.122562,-0.000783068)
(-0.122719,-0.000785153)
(-0.122876,-0.000787247)
 (-0.123034,-0.00078935)
(-0.123192,-0.000791462)
 (-0.12335,-0.000793582)
(-0.123509,-0.000795712)
 (-0.123668,-0.00079785)
(-0.123828,-0.000799997)
(-0.123988,-0.000802153)
(-0.124149,-0.000804318)
 (-0.12431,-0.000806492)
(-0.124472,-0.000808676)
(-0.124634,-0.000810868)
 (-0.124796,-0.00081307)
(-0.124959,-0.000815282)
(-0.125122,-0.000817502)
(-0.125286,-0.000819732)
 (-0.12545,-0.000821972)
(-0.125614,-0.000824221)
 (-0.12578,-0.000826479)
(-0.125945,-0.000828747)
(-0.126111,-0.000831025)
(-0.126277,-0.000833313)
(-0.126444,-0.000835611)
(-0.126612,-0.000837918)
(-0.126779,-0.000840235)
(-0.126948,-0.000842563)
  (-0.127116,-0.0008449)
(-0.127286,-0.000847247)
(-0.127455,-0.000849605)
(-0.127625,-0.000851973)
(-0.127796,-0.000854351)
 (-0.127967,-0.00085674)
(-0.128139,-0.000859139)
(-0.128311,-0.000861548)
(-0.128483,-0.000863968)
(-0.128656,-0.000866399)
  (-0.12883,-0.00086884)
(-0.129004,-0.000871292)
(-0.129178,-0.000873755)
(-0.129353,-0.000876229)
(-0.129529,-0.000878713)
(-0.129705,-0.000881209)
(-0.129881,-0.000883716)
(-0.130058,-0.000886233)
(-0.130236,-0.000888763)
(-0.130414,-0.000891303)
(-0.130592,-0.000893854)
(-0.130771,-0.000896418)
(-0.130951,-0.000898992)
(-0.131131,-0.000901578)
(-0.131311,-0.000904176)
(-0.131492,-0.000906785)
(-0.131674,-0.000909407)
 (-0.131856,-0.00091204)
(-0.132039,-0.000914685)
(-0.132222,-0.000917342)
(-0.132406,-0.000920011)
 (-0.13259,-0.000922692)
(-0.132775,-0.000925385)
 (-0.13296,-0.000928091)
(-0.133146,-0.000930809)
 (-0.133332,-0.00093354)
(-0.133519,-0.000936283)
(-0.133707,-0.000939038)
(-0.133895,-0.000941807)
(-0.134083,-0.000944588)
(-0.134273,-0.000947382)
(-0.134462,-0.000950189)
(-0.134653,-0.000953009)
(-0.134843,-0.000955842)
(-0.135035,-0.000958688)
(-0.135227,-0.000961548)
 (-0.135419,-0.00096442)
(-0.135613,-0.000967307)
(-0.135806,-0.000970207)
 (-0.136001,-0.00097312)
(-0.136196,-0.000976047)
(-0.136391,-0.000978988)
(-0.136587,-0.000981943)
(-0.136784,-0.000984912)
(-0.136981,-0.000987895)
(-0.137179,-0.000990892)
(-0.137377,-0.000993903)
(-0.137576,-0.000996929)
(-0.137776,-0.000999969)
 (-0.137976,-0.00100302)
 (-0.138177,-0.00100609)
 (-0.138379,-0.00100918)
 (-0.138581,-0.00101228)
 (-0.138784,-0.00101539)
 (-0.138987,-0.00101852)
 (-0.139191,-0.00102166)
 (-0.139396,-0.00102482)
   (-0.139601,-0.001028)
 (-0.139807,-0.00103119)
 (-0.140013,-0.00103439)
  (-0.14022,-0.00103761)
 (-0.140428,-0.00104085)
  (-0.140637,-0.0010441)
 (-0.140846,-0.00104737)
 (-0.141056,-0.00105066)
 (-0.141266,-0.00105396)
 (-0.141477,-0.00105727)
 (-0.141689,-0.00106061)
 (-0.141901,-0.00106396)
 (-0.142114,-0.00106732)
 (-0.142328,-0.00107071)
 (-0.142543,-0.00107411)
