(-0.121187,-0.000764996)
 (-0.12134,-0.000767007)
(-0.121494,-0.000769026)
(-0.121648,-0.000771054)
 (-0.121802,-0.00077309)
(-0.121957,-0.000775134)
(-0.122112,-0.000777187)
(-0.122268,-0.000779248)
(-0.122424,-0.000781318)
(-0.122581,-0.000783396)
(-0.122737,-0.000785483)
(-0.122895,-0.000787578)
(-0.123052,-0.000789683)
(-0.123211,-0.000791796)
(-0.123369,-0.000793917)
(-0.123528,-0.000796048)
(-0.123687,-0.000798187)
(-0.123847,-0.000800336)
(-0.124008,-0.000802493)
 (-0.124168,-0.00080466)
(-0.124329,-0.000806835)
 (-0.124491,-0.00080902)
(-0.124653,-0.000811214)
(-0.124815,-0.000813417)
(-0.124978,-0.000815629)
(-0.125142,-0.000817851)
(-0.125305,-0.000820083)
 (-0.12547,-0.000822323)
(-0.125634,-0.000824574)
(-0.125799,-0.000826834)
(-0.125965,-0.000829103)
(-0.126131,-0.000831383)
(-0.126298,-0.000833672)
(-0.126465,-0.000835971)
(-0.126632,-0.000838279)
  (-0.1268,-0.000840598)
(-0.126968,-0.000842927)
(-0.127137,-0.000845265)
(-0.127306,-0.000847614)
(-0.127476,-0.000849973)
(-0.127646,-0.000852343)
(-0.127817,-0.000854722)
(-0.127988,-0.000857112)
 (-0.12816,-0.000859512)
(-0.128332,-0.000861923)
(-0.128504,-0.000864345)
(-0.128678,-0.000866777)
(-0.128851,-0.000869219)
(-0.129025,-0.000871673)
  (-0.1292,-0.000874137)
(-0.129375,-0.000876612)
 (-0.12955,-0.000879098)
(-0.129726,-0.000881595)
(-0.129903,-0.000884103)
 (-0.13008,-0.000886623)
(-0.130258,-0.000889153)
(-0.130436,-0.000891695)
(-0.130614,-0.000894248)
(-0.130793,-0.000896812)
(-0.130973,-0.000899388)
(-0.131153,-0.000901976)
(-0.131334,-0.000904575)
(-0.131515,-0.000907186)
(-0.131696,-0.000909809)
(-0.131879,-0.000912443)
 (-0.132061,-0.00091509)
(-0.132245,-0.000917748)
(-0.132428,-0.000920419)
(-0.132613,-0.000923101)
(-0.132798,-0.000925796)
(-0.132983,-0.000928503)
(-0.133169,-0.000931223)
(-0.133356,-0.000933955)
(-0.133543,-0.000936699)
 (-0.13373,-0.000939456)
(-0.133918,-0.000942226)
(-0.134107,-0.000945009)
(-0.134296,-0.000947804)
(-0.134486,-0.000950613)
(-0.134676,-0.000953434)
(-0.134867,-0.000956269)
(-0.135059,-0.000959116)
(-0.135251,-0.000961977)
(-0.135444,-0.000964852)
(-0.135637,-0.000967739)
(-0.135831,-0.000970641)
(-0.136025,-0.000973556)
 (-0.13622,-0.000976484)
(-0.136416,-0.000979427)
(-0.136612,-0.000982383)
(-0.136809,-0.000985353)
(-0.137006,-0.000988338)
(-0.137204,-0.000991336)
(-0.137402,-0.000994349)
(-0.137602,-0.000997376)
 (-0.137801,-0.00100042)
 (-0.138002,-0.00100347)
 (-0.138203,-0.00100654)
 (-0.138404,-0.00100963)
 (-0.138606,-0.00101273)
 (-0.138809,-0.00101585)
 (-0.139013,-0.00101898)
 (-0.139217,-0.00102212)
 (-0.139422,-0.00102528)
 (-0.139627,-0.00102846)
 (-0.139833,-0.00103165)
  (-0.14004,-0.00103486)
 (-0.140247,-0.00103808)
 (-0.140455,-0.00104132)
 (-0.140663,-0.00104457)
 (-0.140872,-0.00104784)
 (-0.141082,-0.00105113)
 (-0.141293,-0.00105443)
 (-0.141504,-0.00105775)
 (-0.141716,-0.00106108)
 (-0.141928,-0.00106443)
  (-0.142142,-0.0010678)
 (-0.142355,-0.00107119)
  (-0.14257,-0.00107459)
 (-0.142785,-0.00107801)
 (-0.143001,-0.00108144)
  (-0.143218,-0.0010849)
 (-0.143435,-0.00108837)
 (-0.143653,-0.00109186)
 (-0.143872,-0.00109536)
 (-0.144091,-0.00109888)
 (-0.144311,-0.00110242)
 (-0.144532,-0.00110598)
 (-0.144754,-0.00110956)
 (-0.144976,-0.00111316)
 (-0.145199,-0.00111677)
  (-0.145422,-0.0011204)
 (-0.145647,-0.00112405)
 (-0.145872,-0.00112772)
 (-0.146098,-0.00113141)
 (-0.146325,-0.00113512)
 (-0.146552,-0.00113884)
  (-0.14678,-0.00114259)
 (-0.147009,-0.00114635)
 (-0.147239,-0.00115014)
 (-0.147469,-0.00115394)
   (-0.1477,-0.00115776)
 (-0.147932,-0.00116161)
 (-0.148165,-0.00116547)
 (-0.148398,-0.00116935)
 (-0.148632,-0.00117326)
 (-0.148867,-0.00117718)
 (-0.149103,-0.00118113)
   (-0.14934,-0.0011851)
 (-0.149577,-0.00118908)
 (-0.149815,-0.00119309)
 (-0.150054,-0.00119712)
 (-0.150294,-0.00120117)
 (-0.150535,-0.00120525)
 (-0.150776,-0.00120934)
 (-0.151018,-0.00121346)
  (-0.151261,-0.0012176)
 (-0.151505,-0.00122176)
  (-0.15175,-0.00122594)
 (-0.151996,-0.00123015)
 (-0.152242,-0.00123438)
 (-0.152489,-0.00123863)
  (-0.152737,-0.0012429)
  (-0.152986,-0.0012472)
 (-0.153236,-0.00125152)
 (-0.153487,-0.00125587)
 (-0.153738,-0.00126024)
 (-0.153991,-0.00126463)
 (-0.154244,-0.00126905)
 (-0.154498,-0.00127349)
 (-0.154754,-0.00127796)
  (-0.15501,-0.00128245)
 (-0.155266,-0.00128697)
 (-0.155524,-0.00129151)
 (-0.155783,-0.00129607)
 (-0.156043,-0.00130067)
 (-0.156303,-0.00130528)
 (-0.156565,-0.00130993)
  (-0.156827,-0.0013146)
  (-0.15709,-0.00131929)
 (-0.157355,-0.00132402)
  (-0.15762,-0.00132877)
 (-0.157886,-0.00133354)
 (-0.158153,-0.00133835)
 (-0.158421,-0.00134318)
  (-0.15869,-0.00134804)
  (-0.15896,-0.00135292)
 (-0.159231,-0.00135784)
 (-0.159503,-0.00136278)
 (-0.159776,-0.00136775)
  (-0.16005,-0.00137275)
 (-0.160325,-0.00137778)
 (-0.160601,-0.00138284)
 (-0.160879,-0.00138793)
 (-0.161157,-0.00139305)
 (-0.161436,-0.00139819)
 (-0.161716,-0.00140337)
 (-0.161997,-0.00140858)
 (-0.162279,-0.00141382)
 (-0.162562,-0.00141909)
 (-0.162847,-0.00142439)
 (-0.163132,-0.00142972)
 (-0.163418,-0.00143508)
 (-0.163706,-0.00144048)
 (-0.163994,-0.00144591)
 (-0.164284,-0.00145137)
 (-0.164575,-0.00145686)
 (-0.164867,-0.00146239)
  (-0.16516,-0.00146795)
 (-0.165454,-0.00147354)
 (-0.165749,-0.00147917)
 (-0.166045,-0.00148483)
 (-0.166343,-0.00149052)
 (-0.166641,-0.00149625)
 (-0.166941,-0.00150202)
 (-0.167242,-0.00150782)
 (-0.167544,-0.00151365)
 (-0.167848,-0.00151953)
 (-0.168152,-0.00152544)
 (-0.168458,-0.00153138)
 (-0.168764,-0.00153736)
 (-0.169072,-0.00154338)
 (-0.169382,-0.00154944)
 (-0.169692,-0.00155553)
 (-0.170004,-0.00156166)
 (-0.170317,-0.00156784)
 (-0.170631,-0.00157405)
 (-0.170946,-0.00158029)
 (-0.171263,-0.00158658)
 (-0.171581,-0.00159291)
   (-0.1719,-0.00159928)
  (-0.17222,-0.00160569)
 (-0.172542,-0.00161214)
 (-0.172865,-0.00161863)
 (-0.173189,-0.00162516)
 (-0.173515,-0.00163174)
 (-0.173842,-0.00163836)
  (-0.17417,-0.00164502)
   (-0.1745,-0.00165172)
 (-0.174831,-0.00165847)
 (-0.175163,-0.00166526)
  (-0.175497,-0.0016721)
 (-0.175832,-0.00167898)
  (-0.176168,-0.0016859)
 (-0.176506,-0.00169287)
 (-0.176845,-0.00169989)
 (-0.177186,-0.00170696)
 (-0.177528,-0.00171407)
 (-0.177871,-0.00172123)
 (-0.178216,-0.00172843)
 (-0.178562,-0.00173569)
  (-0.17891,-0.00174299)
 (-0.179259,-0.00175034)
  (-0.17961,-0.00175774)
 (-0.179962,-0.00176519)
  (-0.180316,-0.0017727)
 (-0.180671,-0.00178025)
 (-0.181028,-0.00178786)
 (-0.181386,-0.00179551)
 (-0.181746,-0.00180322)
 (-0.182107,-0.00181099)
   (-0.18247,-0.0018188)
 (-0.182835,-0.00182667)
  (-0.183201,-0.0018346)
 (-0.183568,-0.00184258)
 (-0.183937,-0.00185061)
  (-0.184308,-0.0018587)
 (-0.184681,-0.00186685)
 (-0.185055,-0.00187506)
 (-0.185431,-0.00188332)
 (-0.185808,-0.00189164)
 (-0.186187,-0.00190002)
 (-0.186568,-0.00190847)
  (-0.18695,-0.00191697)
 (-0.187334,-0.00192553)
  (-0.18772,-0.00193415)
 (-0.188108,-0.00194284)
 (-0.188497,-0.00195158)
 (-0.188888,-0.00196039)
 (-0.189281,-0.00196927)
 (-0.189676,-0.00197821)
 (-0.190072,-0.00198721)
  (-0.19047,-0.00199629)
 (-0.190871,-0.00200542)
 (-0.191272,-0.00201463)
  (-0.191676,-0.0020239)
 (-0.192082,-0.00203324)
 (-0.192489,-0.00204265)
 (-0.192899,-0.00205213)
  (-0.19331,-0.00206169)
 (-0.193723,-0.00207131)
 (-0.194138,-0.00208101)
 (-0.194555,-0.00209077)
 (-0.194974,-0.00210062)
 (-0.195395,-0.00211053)
 (-0.195818,-0.00212053)
  (-0.196243,-0.0021306)
  (-0.19667,-0.00214074)
 (-0.197099,-0.00215097)
  (-0.19753,-0.00216127)
 (-0.197963,-0.00217166)
 (-0.198399,-0.00218212)
 (-0.198836,-0.00219266)
 (-0.199275,-0.00220329)
   (-0.199717,-0.002214)
  (-0.200161,-0.0022248)
 (-0.200607,-0.00223568)
 (-0.201055,-0.00224664)
 (-0.201505,-0.00225769)
 (-0.201958,-0.00226883)
 (-0.202412,-0.00228006)
 (-0.202869,-0.00229138)
 (-0.203329,-0.00230279)
   (-0.20379,-0.0023143)
 (-0.204254,-0.00232589)
  (-0.20472,-0.00233758)
 (-0.205189,-0.00234937)
  (-0.20566,-0.00236125)
 (-0.206133,-0.00237322)
  (-0.206609,-0.0023853)
 (-0.207087,-0.00239748)
 (-0.207567,-0.00240975)
  (-0.20805,-0.00242213)
 (-0.208536,-0.00243462)
  (-0.209024,-0.0024472)
 (-0.209514,-0.00245989)
 (-0.210007,-0.00247269)
  (-0.210503,-0.0024856)
 (-0.211001,-0.00249862)
 (-0.211502,-0.00251174)
 (-0.212006,-0.00252498)
 (-0.212512,-0.00253834)
  (-0.213021,-0.0025518)
 (-0.213532,-0.00256539)
 (-0.214046,-0.00257909)
 (-0.214563,-0.00259291)
 (-0.215083,-0.00260685)
 (-0.215606,-0.00262091)
  (-0.216131,-0.0026351)
 (-0.216659,-0.00264941)
  (-0.21719,-0.00266385)
 (-0.217724,-0.00267841)
 (-0.218261,-0.00269311)
 (-0.218801,-0.00270794)
  (-0.219344,-0.0027229)
  (-0.21989,-0.00273799)
 (-0.220439,-0.00275322)
 (-0.220991,-0.00276859)
  (-0.221546,-0.0027841)
 (-0.222104,-0.00279975)
 (-0.222665,-0.00281555)
  (-0.22323,-0.00283149)
 (-0.223797,-0.00284758)
 (-0.224368,-0.00286381)
  (-0.224942,-0.0028802)
  (-0.22552,-0.00289674)
 (-0.226101,-0.00291344)
  (-0.226685,-0.0029303)
 (-0.227272,-0.00294731)
 (-0.227863,-0.00296449)
 (-0.228457,-0.00298183)
 (-0.229055,-0.00299933)
 (-0.229657,-0.00301701)
 (-0.230261,-0.00303485)
  (-0.23087,-0.00305287)
 (-0.231482,-0.00307106)
 (-0.232098,-0.00308943)
 (-0.232717,-0.00310798)
  (-0.23334,-0.00312672)
 (-0.233967,-0.00314563)
 (-0.234598,-0.00316474)
 (-0.235233,-0.00318404)
 (-0.235871,-0.00320353)
 (-0.236513,-0.00322321)
   (-0.23716,-0.0032431)
  (-0.23781,-0.00326319)
 (-0.238464,-0.00328348)
 (-0.239123,-0.00330398)
 (-0.239785,-0.00332468)
 (-0.240452,-0.00334561)
 (-0.241123,-0.00336675)
 (-0.241798,-0.00338811)
 (-0.242477,-0.00340969)
  (-0.243161,-0.0034315)
 (-0.243849,-0.00345353)
 (-0.244542,-0.00347581)
 (-0.245239,-0.00349831)
  (-0.24594,-0.00352106)
 (-0.246646,-0.00354406)
  (-0.247357,-0.0035673)
 (-0.248072,-0.00359079)
 (-0.248792,-0.00361454)
 (-0.249517,-0.00363854)
 (-0.250247,-0.00366281)
 (-0.250982,-0.00368735)
 (-0.251721,-0.00371216)
 (-0.252466,-0.00373724)
 (-0.253215,-0.00376261)
  (-0.25397,-0.00378826)
  (-0.254729,-0.0038142)
 (-0.255494,-0.00384043)
 (-0.256265,-0.00386696)
   (-0.25704,-0.0038938)
 (-0.257821,-0.00392094)
  (-0.258607,-0.0039484)
 (-0.259399,-0.00397618)
 (-0.260197,-0.00400428)
    (-0.261,-0.00403271)
 (-0.261809,-0.00406147)
 (-0.262624,-0.00409058)
 (-0.263444,-0.00412003)
  (-0.26427,-0.00414983)
    (-0.265103,-0.00418)
 (-0.265941,-0.00421052)
 (-0.266786,-0.00424142)
 (-0.267637,-0.00427269)
 (-0.268494,-0.00430435)
  (-0.269357,-0.0043364)
 (-0.270227,-0.00436884)
 (-0.271103,-0.00440169)
 (-0.271986,-0.00443495)
 (-0.272876,-0.00446863)
 (-0.273772,-0.00450274)
 (-0.274675,-0.00453728)
 (-0.275586,-0.00457226)
 (-0.276503,-0.00460769)
 (-0.277427,-0.00464358)
 (-0.278359,-0.00467994)
 (-0.279298,-0.00471677)
 (-0.280244,-0.00475408)
 (-0.281198,-0.00479189)
  (-0.282159,-0.0048302)
 (-0.283128,-0.00486903)
 (-0.284105,-0.00490837)
  (-0.28509,-0.00494825)
 (-0.286083,-0.00498867)
 (-0.287083,-0.00502965)
 (-0.288093,-0.00507118)
  (-0.28911,-0.00511329)
 (-0.290136,-0.00515599)
  (-0.29117,-0.00519929)
 (-0.292214,-0.00524319)
 (-0.293266,-0.00528772)
 (-0.294327,-0.00533288)
 (-0.295397,-0.00537869)
 (-0.296476,-0.00542516)
 (-0.297565,-0.00547231)
 (-0.298663,-0.00552014)
  (-0.29977,-0.00556868)
 (-0.300888,-0.00561793)
 (-0.302015,-0.00566792)
 (-0.303152,-0.00571866)
   (-0.3043,-0.00577016)
 (-0.305458,-0.00582244)
 (-0.306626,-0.00587552)
 (-0.307806,-0.00592942)
 (-0.308995,-0.00598415)
 (-0.310196,-0.00603973)
 (-0.311409,-0.00609619)
 (-0.312632,-0.00615353)
 (-0.313867,-0.00621179)
 (-0.315114,-0.00627097)
 (-0.316372,-0.00633111)
 (-0.317643,-0.00639223)
 (-0.318926,-0.00645434)
 (-0.320221,-0.00651748)
 (-0.321529,-0.00658166)
   (-0.32285,-0.0066469)
 (-0.324185,-0.00671325)
 (-0.325532,-0.00678072)
 (-0.326893,-0.00684933)
 (-0.328268,-0.00691913)
 (-0.329657,-0.00699013)
  (-0.33106,-0.00706236)
 (-0.332478,-0.00713587)
  (-0.33391,-0.00721067)
 (-0.335358,-0.00728681)
  (-0.33682,-0.00736431)
 (-0.338299,-0.00744321)
 (-0.339793,-0.00752355)
 (-0.341303,-0.00760537)
   (-0.34283,-0.0076887)
 (-0.344374,-0.00777359)
 (-0.345934,-0.00786007)
 (-0.347512,-0.00794819)
   (-0.349108,-0.008038)
 (-0.350722,-0.00812954)
 (-0.352354,-0.00822285)
   (-0.354005,-0.008318)
 (-0.355675,-0.00841502)
 (-0.357365,-0.00851398)
 (-0.359074,-0.00861493)
 (-0.360804,-0.00871792)
 (-0.362554,-0.00882302)
 (-0.364326,-0.00893028)
 (-0.366119,-0.00903978)
 (-0.367934,-0.00915158)
 (-0.369772,-0.00926574)
 (-0.371633,-0.00938235)
 (-0.373517,-0.00950147)
 (-0.375425,-0.00962319)
