(-0.129114,-0.000861964)
 (-0.129287,-0.00086435)
 (-0.12946,-0.000866747)
(-0.129633,-0.000869153)
 (-0.129807,-0.00087157)
(-0.129982,-0.000873997)
(-0.130157,-0.000876435)
(-0.130332,-0.000878883)
(-0.130508,-0.000881342)
(-0.130685,-0.000883812)
(-0.130862,-0.000886292)
(-0.131039,-0.000888784)
(-0.131217,-0.000891286)
(-0.131396,-0.000893799)
(-0.131575,-0.000896323)
(-0.131754,-0.000898858)
(-0.131934,-0.000901404)
(-0.132115,-0.000903962)
(-0.132296,-0.000906531)
(-0.132477,-0.000909111)
 (-0.13266,-0.000911703)
(-0.132842,-0.000914306)
(-0.133025,-0.000916921)
(-0.133209,-0.000919547)
(-0.133393,-0.000922185)
(-0.133578,-0.000924835)
(-0.133763,-0.000927496)
 (-0.133949,-0.00093017)
(-0.134135,-0.000932856)
(-0.134322,-0.000935553)
(-0.134509,-0.000938263)
(-0.134697,-0.000940985)
(-0.134885,-0.000943719)
(-0.135074,-0.000946466)
(-0.135264,-0.000949225)
(-0.135454,-0.000951997)
(-0.135645,-0.000954781)
(-0.135836,-0.000957578)
(-0.136028,-0.000960388)
 (-0.13622,-0.000963211)
(-0.136413,-0.000966046)
(-0.136606,-0.000968895)
  (-0.1368,-0.000971757)
(-0.136995,-0.000974631)
 (-0.13719,-0.000977519)
(-0.137386,-0.000980421)
(-0.137582,-0.000983336)
(-0.137779,-0.000986264)
(-0.137977,-0.000989206)
(-0.138175,-0.000992162)
(-0.138374,-0.000995132)
(-0.138573,-0.000998115)
 (-0.138773,-0.00100111)
 (-0.138973,-0.00100412)
 (-0.139174,-0.00100715)
 (-0.139376,-0.00101019)
 (-0.139579,-0.00101324)
 (-0.139781,-0.00101631)
 (-0.139985,-0.00101939)
 (-0.140189,-0.00102249)
  (-0.140394,-0.0010256)
 (-0.140599,-0.00102873)
 (-0.140805,-0.00103187)
 (-0.141012,-0.00103503)
  (-0.141219,-0.0010382)
 (-0.141427,-0.00104139)
 (-0.141636,-0.00104459)
 (-0.141845,-0.00104781)
 (-0.142055,-0.00105104)
 (-0.142265,-0.00105429)
 (-0.142477,-0.00105756)
 (-0.142688,-0.00106084)
 (-0.142901,-0.00106414)
 (-0.143114,-0.00106745)
 (-0.143328,-0.00107078)
 (-0.143542,-0.00107412)
 (-0.143757,-0.00107748)
 (-0.143973,-0.00108086)
  (-0.14419,-0.00108426)
 (-0.144407,-0.00108767)
  (-0.144625,-0.0010911)
 (-0.144843,-0.00109454)
   (-0.145062,-0.001098)
 (-0.145282,-0.00110148)
 (-0.145503,-0.00110498)
 (-0.145724,-0.00110849)
 (-0.145946,-0.00111202)
 (-0.146169,-0.00111557)
 (-0.146393,-0.00111914)
 (-0.146617,-0.00112272)
 (-0.146842,-0.00112633)
 (-0.147067,-0.00112995)
 (-0.147293,-0.00113359)
 (-0.147521,-0.00113724)
 (-0.147748,-0.00114092)
 (-0.147977,-0.00114461)
 (-0.148206,-0.00114833)
 (-0.148436,-0.00115206)
 (-0.148667,-0.00115581)
 (-0.148898,-0.00115958)
 (-0.149131,-0.00116337)
 (-0.149364,-0.00116718)
 (-0.149597,-0.00117101)
 (-0.149832,-0.00117486)
 (-0.150067,-0.00117873)
 (-0.150303,-0.00118261)
