 (-0.160075,-0.00138409)
  (-0.160352,-0.0013892)
  (-0.16063,-0.00139434)
 (-0.160909,-0.00139951)
  (-0.16119,-0.00140471)
 (-0.161471,-0.00140995)
 (-0.161754,-0.00141521)
  (-0.162037,-0.0014205)
 (-0.162322,-0.00142583)
 (-0.162607,-0.00143119)
 (-0.162894,-0.00143657)
 (-0.163182,-0.00144199)
 (-0.163471,-0.00144745)
 (-0.163761,-0.00145293)
 (-0.164052,-0.00145845)
   (-0.164344,-0.001464)
 (-0.164637,-0.00146959)
  (-0.164932,-0.0014752)
 (-0.165227,-0.00148086)
 (-0.165524,-0.00148654)
 (-0.165822,-0.00149226)
 (-0.166121,-0.00149802)
 (-0.166421,-0.00150381)
 (-0.166722,-0.00150963)
 (-0.167025,-0.00151549)
 (-0.167328,-0.00152139)
 (-0.167633,-0.00152732)
 (-0.167939,-0.00153329)
  (-0.168246,-0.0015393)
 (-0.168555,-0.00154535)
 (-0.168864,-0.00155143)
 (-0.169175,-0.00155755)
  (-0.169487,-0.0015637)
  (-0.169801,-0.0015699)
 (-0.170115,-0.00157613)
 (-0.170431,-0.00158241)
 (-0.170748,-0.00158872)
 (-0.171066,-0.00159507)
 (-0.171386,-0.00160147)
  (-0.171707,-0.0016079)
 (-0.172029,-0.00161437)
 (-0.172352,-0.00162089)
 (-0.172677,-0.00162745)
 (-0.173003,-0.00163405)
 (-0.173331,-0.00164069)
 (-0.173659,-0.00164737)
  (-0.173989,-0.0016541)
 (-0.174321,-0.00166087)
 (-0.174654,-0.00166768)
 (-0.174988,-0.00167454)
 (-0.175323,-0.00168145)
  (-0.17566,-0.00168839)
 (-0.175998,-0.00169539)
 (-0.176338,-0.00170243)
 (-0.176679,-0.00170951)
 (-0.177022,-0.00171665)
 (-0.177366,-0.00172383)
 (-0.177711,-0.00173105)
 (-0.178058,-0.00173833)
 (-0.178406,-0.00174565)
 (-0.178756,-0.00175303)
 (-0.179107,-0.00176045)
  (-0.17946,-0.00176792)
 (-0.179814,-0.00177544)
  (-0.18017,-0.00178301)
 (-0.180527,-0.00179064)
 (-0.180886,-0.00179831)
 (-0.181247,-0.00180604)
 (-0.181608,-0.00181382)
 (-0.181972,-0.00182165)
 (-0.182337,-0.00182954)
 (-0.182704,-0.00183748)
 (-0.183072,-0.00184548)
 (-0.183442,-0.00185353)
 (-0.183813,-0.00186164)
  (-0.184186,-0.0018698)
 (-0.184561,-0.00187802)
  (-0.184937,-0.0018863)
 (-0.185315,-0.00189463)
 (-0.185695,-0.00190302)
 (-0.186076,-0.00191148)
 (-0.186459,-0.00191999)
 (-0.186844,-0.00192856)
  (-0.18723,-0.00193719)
 (-0.187619,-0.00194589)
 (-0.188009,-0.00195464)
   (-0.1884,-0.00196346)
 (-0.188794,-0.00197234)
 (-0.189189,-0.00198129)
  (-0.189586,-0.0019903)
 (-0.189985,-0.00199937)
 (-0.190386,-0.00200851)
 (-0.190788,-0.00201772)
   (-0.191192,-0.002027)
 (-0.191599,-0.00203634)
 (-0.192007,-0.00204575)
 (-0.192417,-0.00205523)
 (-0.192829,-0.00206478)
  (-0.193242,-0.0020744)
 (-0.193658,-0.00208409)
 (-0.194076,-0.00209385)
 (-0.194495,-0.00210369)
  (-0.194917,-0.0021136)
 (-0.195341,-0.00212358)
 (-0.195766,-0.00213364)
 (-0.196194,-0.00214377)
 (-0.196623,-0.00215398)
 (-0.197055,-0.00216427)
 (-0.197489,-0.00217464)
 (-0.197925,-0.00218508)
 (-0.198363,-0.00219561)
 (-0.198803,-0.00220621)
  (-0.199245,-0.0022169)
 (-0.199689,-0.00222767)
 (-0.200136,-0.00223852)
 (-0.200584,-0.00224946)
 (-0.201035,-0.00226048)
 (-0.201488,-0.00227159)
 (-0.201944,-0.00228279)
 (-0.202401,-0.00229407)
 (-0.202861,-0.00230544)
  (-0.203323,-0.0023169)
 (-0.203787,-0.00232846)
  (-0.204254,-0.0023401)
 (-0.204723,-0.00235184)
 (-0.205195,-0.00236367)
  (-0.205668,-0.0023756)
 (-0.206144,-0.00238762)
 (-0.206623,-0.00239974)
 (-0.207104,-0.00241195)
 (-0.207587,-0.00242427)
 (-0.208073,-0.00243669)
  (-0.208562,-0.0024492)
 (-0.209053,-0.00246182)
 (-0.209546,-0.00247455)
 (-0.210042,-0.00248738)
 (-0.210541,-0.00250031)
 (-0.211042,-0.00251335)
  (-0.211546,-0.0025265)
 (-0.212052,-0.00253977)
 (-0.212561,-0.00255314)
 (-0.213073,-0.00256662)
 (-0.213588,-0.00258022)
 (-0.214105,-0.00259393)
 (-0.214625,-0.00260776)
 (-0.215148,-0.00262171)
 (-0.215673,-0.00263577)
 (-0.216201,-0.00264996)
 (-0.216733,-0.00266427)
  (-0.217267,-0.0026787)
 (-0.217804,-0.00269326)
 (-0.218344,-0.00270794)
 (-0.218887,-0.00272275)
 (-0.219432,-0.00273769)
 (-0.219981,-0.00275276)
 (-0.220533,-0.00276797)
 (-0.221088,-0.00278331)
 (-0.221646,-0.00279878)
 (-0.222207,-0.00281439)
 (-0.222771,-0.00283014)
 (-0.223339,-0.00284603)
 (-0.223909,-0.00286207)
 (-0.224483,-0.00287825)
  (-0.22506,-0.00289457)
  (-0.22564,-0.00291105)
 (-0.226224,-0.00292767)
 (-0.226811,-0.00294444)
 (-0.227401,-0.00296137)
 (-0.227995,-0.00297846)
  (-0.228592,-0.0029957)
  (-0.229193,-0.0030131)
 (-0.229797,-0.00303067)
 (-0.230404,-0.00304839)
 (-0.231016,-0.00306629)
  (-0.23163,-0.00308435)
 (-0.232249,-0.00310258)
 (-0.232871,-0.00312099)
 (-0.233497,-0.00313957)
 (-0.234126,-0.00315832)
 (-0.234759,-0.00317726)
 (-0.235396,-0.00319638)
 (-0.236037,-0.00321568)
 (-0.236682,-0.00323517)
 (-0.237331,-0.00325485)
 (-0.237983,-0.00327472)
  (-0.23864,-0.00329478)
 (-0.239301,-0.00331505)
 (-0.239965,-0.00333551)
 (-0.240634,-0.00335617)
 (-0.241307,-0.00337704)
 (-0.241984,-0.00339812)
 (-0.242666,-0.00341941)
 (-0.243351,-0.00344091)
 (-0.244041,-0.00346263)
 (-0.244736,-0.00348457)
 (-0.245434,-0.00350673)
 (-0.246138,-0.00352912)
 (-0.246845,-0.00355173)
 (-0.247558,-0.00357458)
 (-0.248274,-0.00359767)
 (-0.248996,-0.00362099)
 (-0.249722,-0.00364456)
 (-0.250453,-0.00366837)
 (-0.251189,-0.00369243)
 (-0.251929,-0.00371675)
 (-0.252674,-0.00374132)
 (-0.253425,-0.00376616)
  (-0.25418,-0.00379126)
  (-0.25494,-0.00381662)
 (-0.255706,-0.00384226)
 (-0.256476,-0.00386818)
 (-0.257252,-0.00389438)
 (-0.258033,-0.00392086)
 (-0.258819,-0.00394763)
  (-0.259611,-0.0039747)
 (-0.260408,-0.00400206)
 (-0.261211,-0.00402972)
  (-0.262019,-0.0040577)
 (-0.262833,-0.00408598)
 (-0.263653,-0.00411458)
  (-0.264478,-0.0041435)
 (-0.265309,-0.00417275)
 (-0.266146,-0.00420234)
