(-0.160547,-0.00140024)
(-0.160827,-0.00140549)
(-0.161109,-0.00141078)
(-0.161391,-0.0014161)
(-0.161675,-0.00142145)
(-0.16196,-0.00142683)
(-0.162246,-0.00143224)
(-0.162533,-0.00143769)
(-0.162821,-0.00144317)
(-0.16311,-0.00144868)
(-0.1634,-0.00145423)
(-0.163691,-0.00145981)
(-0.163984,-0.00146542)
(-0.164278,-0.00147107)
(-0.164572,-0.00147675)
(-0.164868,-0.00148247)
(-0.165165,-0.00148822)
(-0.165463,-0.00149401)
(-0.165763,-0.00149983)
(-0.166063,-0.00150569)
(-0.166365,-0.00151159)
(-0.166668,-0.00151752)
(-0.166972,-0.00152349)
(-0.167277,-0.0015295)
(-0.167583,-0.00153554)
(-0.167891,-0.00154163)
(-0.1682,-0.00154775)
(-0.16851,-0.00155391)
(-0.168821,-0.00156011)
(-0.169134,-0.00156635)
(-0.169448,-0.00157263)
(-0.169763,-0.00157894)
(-0.170079,-0.0015853)
(-0.170397,-0.0015917)
(-0.170716,-0.00159814)
(-0.171036,-0.00160463)
(-0.171357,-0.00161115)
(-0.17168,-0.00161772)
(-0.172004,-0.00162433)
(-0.17233,-0.00163098)
(-0.172657,-0.00163768)
(-0.172985,-0.00164442)
(-0.173314,-0.0016512)
(-0.173645,-0.00165803)
(-0.173977,-0.0016649)
(-0.174311,-0.00167182)
(-0.174646,-0.00167878)
(-0.174982,-0.0016858)
(-0.17532,-0.00169285)
(-0.175659,-0.00169996)
(-0.176,-0.00170711)
(-0.176342,-0.00171431)
(-0.176685,-0.00172156)
(-0.17703,-0.00172886)
(-0.177377,-0.00173621)
(-0.177725,-0.00174361)
(-0.178074,-0.00175105)
(-0.178425,-0.00175855)
(-0.178777,-0.0017661)
(-0.179131,-0.0017737)
(-0.179487,-0.00178136)
(-0.179844,-0.00178906)
(-0.180202,-0.00179682)
(-0.180562,-0.00180464)
(-0.180924,-0.00181251)
(-0.181287,-0.00182043)
(-0.181652,-0.00182841)
(-0.182018,-0.00183644)
(-0.182386,-0.00184453)
(-0.182756,-0.00185268)
(-0.183127,-0.00186089)
(-0.1835,-0.00186915)
(-0.183875,-0.00187748)
(-0.184251,-0.00188586)
(-0.184629,-0.0018943)
(-0.185008,-0.0019028)
(-0.18539,-0.00191137)
(-0.185773,-0.00191999)
(-0.186157,-0.00192868)
(-0.186544,-0.00193743)
(-0.186932,-0.00194624)
(-0.187322,-0.00195512)
(-0.187714,-0.00196407)
(-0.188108,-0.00197308)
(-0.188503,-0.00198215)
(-0.1889,-0.00199129)
(-0.189299,-0.0020005)
(-0.1897,-0.00200978)
(-0.190103,-0.00201913)
(-0.190508,-0.00202855)
(-0.190914,-0.00203803)
(-0.191323,-0.00204759)
(-0.191733,-0.00205722)
(-0.192145,-0.00206693)
(-0.19256,-0.00207671)
(-0.192976,-0.00208656)
(-0.193394,-0.00209648)
(-0.193814,-0.00210649)
(-0.194236,-0.00211656)
(-0.19466,-0.00212672)
(-0.195087,-0.00213696)
(-0.195515,-0.00214727)
(-0.195945,-0.00215766)
(-0.196378,-0.00216814)
(-0.196812,-0.0021787)
(-0.197249,-0.00218934)
(-0.197688,-0.00220006)
(-0.198129,-0.00221087)
(-0.198572,-0.00222176)
(-0.199017,-0.00223274)
(-0.199465,-0.0022438)
(-0.199914,-0.00225496)
(-0.200366,-0.0022662)
(-0.200821,-0.00227754)
(-0.201277,-0.00228896)
(-0.201736,-0.00230048)
(-0.202197,-0.00231209)
(-0.20266,-0.0023238)
(-0.203126,-0.0023356)
(-0.203594,-0.0023475)
(-0.204065,-0.00235949)
(-0.204538,-0.00237159)
(-0.205013,-0.00238378)
(-0.205491,-0.00239608)
(-0.205971,-0.00240848)
(-0.206454,-0.00242098)
(-0.206939,-0.00243358)
(-0.207427,-0.0024463)
(-0.207917,-0.00245911)
(-0.20841,-0.00247204)
(-0.208906,-0.00248508)
(-0.209404,-0.00249823)
(-0.209905,-0.00251149)
(-0.210408,-0.00252486)
(-0.210914,-0.00253835)
(-0.211423,-0.00255196)
(-0.211935,-0.00256568)
(-0.212449,-0.00257952)
(-0.212966,-0.00259349)
(-0.213486,-0.00260757)
(-0.214009,-0.00262178)
(-0.214534,-0.00263612)
(-0.215063,-0.00265058)
(-0.215594,-0.00266517)
(-0.216129,-0.00267989)
(-0.216666,-0.00269474)
(-0.217206,-0.00270972)
(-0.217749,-0.00272484)
(-0.218295,-0.00274009)
(-0.218845,-0.00275549)
(-0.219397,-0.00277102)
(-0.219953,-0.0027867)
(-0.220511,-0.00280252)
(-0.221073,-0.00281848)
(-0.221638,-0.00283459)
(-0.222207,-0.00285085)
(-0.222778,-0.00286727)
(-0.223353,-0.00288383)
(-0.223931,-0.00290055)
(-0.224513,-0.00291743)
(-0.225098,-0.00293447)
(-0.225686,-0.00295166)
(-0.226278,-0.00296903)
(-0.226873,-0.00298655)
(-0.227472,-0.00300425)
(-0.228074,-0.00302211)
(-0.22868,-0.00304015)
